data_provider,institutionCode,variable,counts
idigbio,TTU,has_collectionCode,10
idigbio,TTU,has_catalogNumber,9
idigbio,TTU,has_scientificName,10
idigbio,TTU,has_acceptedNameUsage,0
idigbio,TTU,has_locality,8
idigbio,TTU,has_countryCode,10
idigbio,TTU,has_coordinates,8
idigbio,TTU,has_image,0
idigbio,TTU,has_dateIdentified,0
idigbio,TTU,has_identifiedBy,1
idigbio,TTU,has_recordedBy,3
idigbio,TTU,has_eventDate,1
idigbio,PSUC,total,19
idigbio,PSUC,has_collectionCode,19
idigbio,PSUC,has_catalogNumber,19
idigbio,PSUC,has_scientificName,19
idigbio,PSUC,has_acceptedNameUsage,0
idigbio,PSUC,has_locality,2
idigbio,PSUC,has_countryCode,4
idigbio,PSUC,has_coordinates,6
idigbio,PSUC,has_image,0
idigbio,PSUC,has_dateIdentified,1
idigbio,PSUC,has_identifiedBy,4
idigbio,PSUC,has_recordedBy,10
idigbio,PSUC,has_eventDate,8
idigbio,GMS,total,8142
idigbio,GMS,has_collectionCode,0
idigbio,GMS,has_catalogNumber,8141
idigbio,GMS,has_scientificName,8142
idigbio,GMS,has_acceptedNameUsage,0
idigbio,GMS,has_locality,8141
idigbio,GMS,has_countryCode,8101
idigbio,GMS,has_coordinates,8023
idigbio,GMS,has_image,8005
idigbio,GMS,has_dateIdentified,0
idigbio,GMS,has_identifiedBy,0
idigbio,GMS,has_recordedBy,8037
idigbio,GMS,has_eventDate,7877
idigbio,USFS,total,8148
idigbio,USFS,has_collectionCode,8148
idigbio,USFS,has_catalogNumber,3127
idigbio,USFS,has_scientificName,8148
idigbio,USFS,has_acceptedNameUsage,0
idigbio,USFS,has_locality,7896
idigbio,USFS,has_countryCode,8073
idigbio,USFS,has_coordinates,6293
idigbio,USFS,has_image,146
idigbio,USFS,has_dateIdentified,2140
idigbio,USFS,has_identifiedBy,4632
idigbio,USFS,has_recordedBy,7957
idigbio,USFS,has_eventDate,7676
idigbio,CLARK-A,total,7372
idigbio,CLARK-A,has_collectionCode,7372
idigbio,CLARK-A,has_catalogNumber,7372
idigbio,CLARK-A,has_scientificName,7372
idigbio,CLARK-A,has_acceptedNameUsage,0
idigbio,CLARK-A,has_locality,7033
idigbio,CLARK-A,has_countryCode,7372
idigbio,CLARK-A,has_coordinates,6513
idigbio,CLARK-A,has_image,0
idigbio,CLARK-A,has_dateIdentified,0
idigbio,CLARK-A,has_identifiedBy,0
idigbio,CLARK-A,has_recordedBy,7333
idigbio,CLARK-A,has_eventDate,7355
idigbio,RENO,total,102497
idigbio,RENO,has_collectionCode,102497
idigbio,RENO,has_catalogNumber,102497
idigbio,RENO,has_scientificName,102497
idigbio,RENO,has_acceptedNameUsage,0
idigbio,RENO,has_locality,101202
idigbio,RENO,has_countryCode,102494
idigbio,RENO,has_coordinates,80194
idigbio,RENO,has_image,22247
idigbio,RENO,has_dateIdentified,20753
idigbio,RENO,has_identifiedBy,25112
idigbio,RENO,has_recordedBy,102497
idigbio,RENO,has_eventDate,101302
idigbio,WJC,total,710
idigbio,WJC,has_collectionCode,0
idigbio,WJC,has_catalogNumber,710
idigbio,WJC,has_scientificName,710
idigbio,WJC,has_acceptedNameUsage,0
idigbio,WJC,has_locality,623
idigbio,WJC,has_countryCode,705
idigbio,WJC,has_coordinates,0
idigbio,WJC,has_image,0
idigbio,WJC,has_dateIdentified,519
idigbio,WJC,has_identifiedBy,522
idigbio,WJC,has_recordedBy,709
idigbio,WJC,has_eventDate,705
idigbio,"SEL, MO",total,1
idigbio,"SEL, MO",has_collectionCode,0
idigbio,"SEL, MO",has_catalogNumber,1
idigbio,"SEL, MO",has_scientificName,1
idigbio,"SEL, MO",has_acceptedNameUsage,0
idigbio,"SEL, MO",has_locality,0
idigbio,"SEL, MO",has_countryCode,1
idigbio,"SEL, MO",has_coordinates,0
idigbio,"SEL, MO",has_image,0
idigbio,"SEL, MO",has_dateIdentified,1
