institutionCode,total,has_collectionCode,has_catalogNumber,has_scientificName,has_acceptedNameUsage,has_locality,has_countryCode,has_coordinates,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_speciesKey,has_higherGeography,File
GMS,8142,0,8141,8142,0,8141,8101,8023,8005,0,0,8037,7877,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
GMUF,36506,36506,36506,36506,0,24189,36506,1171,35218,80,829,24595,24249,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
GRCH,5419,5419,5419,5419,0,4994,5401,1769,0,250,424,5313,4944,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
GSW,13036,0,13036,13036,0,3192,13005,886,12865,61,101,3271,3205,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
GUAM,3,3,3,3,0,2,1,3,0,0,0,3,3,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
GVSC,3143,0,3143,3143,0,2894,2896,13,3080,3015,3023,3090,2909,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
Harvard University,21323,21323,21323,20843,0,21298,21035,1,11163,17,13,21301,19857,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
HAW,4189,4189,4189,4189,0,1657,2938,1,4025,0,483,3398,1,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
HBSH,2426,0,2426,2426,0,586,2420,301,1967,668,668,674,587,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
HCHM,4051,0,4051,4051,0,3907,3948,4,3943,66,3424,3892,3709,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
HCOA,665,0,665,665,0,659,664,659,577,522,597,557,650,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
HJAEF,1064,1064,1064,1064,1059,1056,1064,916,964,607,756,1064,1010,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
HLSD,3542,0,3542,3542,0,379,2456,15,3520,165,1633,2712,2360,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
HPC,26212,0,26212,26212,0,10620,26187,2351,2533,3,7,26152,25992,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
HPSU,15804,15804,15804,15804,15668,15420,15718,6494,12234,4814,9662,15736,15504,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
HSC,74762,71139,74762,74762,0,73783,74730,43848,3623,1,3182,74587,74134,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
HSU,1,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
HUDC,8736,0,8736,8736,0,1662,1969,6,8727,19,54,1985,1893,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
HUNT,5633,0,5633,5633,0,163,5631,120,5549,3,3,3614,3578,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
HWBA,636,0,634,636,0,557,620,224,2,64,88,622,610,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
IBE,13908,0,13908,13908,0,243,13816,23,13556,1235,1585,13670,13268,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
ID,154171,145698,151023,154171,142807,150549,153530,92526,146311,40479,47532,153981,152682,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
IDS,60851,59236,60647,60851,57974,60140,60423,23909,59847,56807,58670,60815,59875,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
ILL,109602,0,109602,109602,0,18255,46044,2359,102512,2545,6274,33423,31292,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
ILLS,333143,2745,114868,333143,0,310542,332305,79336,69292,395,16680,332523,308946,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
IND,153492,138,153414,153492,0,131246,151775,44738,147638,33333,34430,142991,140136,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
INHS,83,83,83,83,0,81,81,61,0,2,31,27,76,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
IRVC,5672,5672,5672,5672,0,5662,5672,4943,0,0,0,5668,5647,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
ISC,102139,0,98333,102139,0,54532,81213,34946,53217,8462,25311,77281,74922,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
ISTC,6788,0,0,6788,0,4167,4857,1,0,0,0,4903,4896,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
JEPS,109684,109684,109684,109684,0,109173,109684,90934,0,0,0,109671,108813,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
JFBM,12,12,12,12,0,12,12,8,0,0,0,12,12,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
JMUH,5062,0,5062,5062,0,4838,4797,784,4654,0,0,4838,4811,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
JOTR,4358,4358,4358,4358,0,4358,4358,4275,0,0,0,4357,4357,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
JROH,4747,4747,4747,4747,0,4747,4747,3688,0,0,0,4747,4735,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
JTP,1,0,1,1,0,1,1,1,0,0,0,1,1,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
KAIB,19,0,0,19,0,1,19,1,0,0,0,19,1,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
KANU,1184,1184,1184,1184,0,1178,1160,1181,0,0,0,0,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
