institutionCode,variable,counts
KSP,has_catalogNumber,16252
KSP,has_speciesKey,22310
KSP,has_scientificName,22819
KSP,has_acceptedNameUsage,0
KSP,has_locality,21899
KSP,has_higherGeography,0
KSP,has_countryCode,22802
KSP,has_coordinates,10865
KSP,has_image,0
KSP,has_dateIdentified,1470
KSP,has_identifiedBy,2436
KSP,has_recordedBy,22810
KSP,has_eventDate,19073
MICH,total,940377
MICH,has_collectionCode,940377
MICH,has_catalogNumber,940377
MICH,has_speciesKey,824607
MICH,has_scientificName,940377
MICH,has_acceptedNameUsage,0
MICH,has_locality,940377
MICH,has_higherGeography,0
MICH,has_countryCode,907288
MICH,has_coordinates,300052
MICH,has_image,461573
MICH,has_dateIdentified,129880
MICH,has_identifiedBy,236026
MICH,has_recordedBy,925141
MICH,has_eventDate,841184
MUR,total,1
MUR,has_collectionCode,0
MUR,has_catalogNumber,1
MUR,has_speciesKey,1
MUR,has_scientificName,1
MUR,has_acceptedNameUsage,0
MUR,has_locality,1
MUR,has_higherGeography,0
MUR,has_countryCode,1
MUR,has_coordinates,1
MUR,has_image,1
MUR,has_dateIdentified,0
MUR,has_identifiedBy,0
MUR,has_recordedBy,1
MUR,has_eventDate,1
MSC,total,179185
MSC,has_collectionCode,179185
MSC,has_catalogNumber,179114
MSC,has_speciesKey,164612
MSC,has_scientificName,179185
MSC,has_acceptedNameUsage,0
MSC,has_locality,179039
MSC,has_higherGeography,171244
MSC,has_countryCode,169899
MSC,has_coordinates,25906
MSC,has_image,0
MSC,has_dateIdentified,0
MSC,has_identifiedBy,0
MSC,has_recordedBy,178048
MSC,has_eventDate,174475
NA,total,111821
NA,has_collectionCode,1673
NA,has_catalogNumber,111700
NA,has_speciesKey,110679
NA,has_scientificName,111821
NA,has_acceptedNameUsage,0
NA,has_locality,110026
NA,has_higherGeography,943
NA,has_countryCode,111567
NA,has_coordinates,110565
NA,has_image,0
NA,has_dateIdentified,5
NA,has_identifiedBy,26
NA,has_recordedBy,2261
NA,has_eventDate,110081
TENN,total,419643
TENN,has_collectionCode,70186
TENN,has_catalogNumber,419643
TENN,has_speciesKey,396821
TENN,has_scientificName,419643
TENN,has_acceptedNameUsage,0
