recordset_UUID,Link,name,IN/OUT,,,
6c6f34ed-58a4-4ba2-b9c7-34524f79a349,https://www.idigbio.org/portal/recordsets/6c6f34ed-58a4-4ba2-b9c7-34524f79a349,NMNH Paleobiology Specimen Records,IN,,,
8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,https://www.idigbio.org/portal/recordsets/8b0c1f4b-9de7-4521-98c2-983e0bfd33c7,"Vascular Plant Collection, University of Washington Herbarium",IN,,,
b58043bc-9e47-4a8f-9e4b-5d4c510ea0e1,https://www.idigbio.org/portal/recordsets/b58043bc-9e47-4a8f-9e4b-5d4c510ea0e1,SMDB - Santa Maria Departamento de Biologia,OUT,,,
dde625e8-cc2a-4877-9ec4-0b8a20dfded9,https://www.idigbio.org/portal/recordsets/dde625e8-cc2a-4877-9ec4-0b8a20dfded9,Illinois Natural History Survey Insect Collection,IN,,,
ba77d411-4179-4dbd-b6c1-39b8a71ae795,https://www.idigbio.org/portal/recordsets/ba77d411-4179-4dbd-b6c1-39b8a71ae795,UWBM Invertebrate Paleontology Collection,IN,,,
2c662e9e-cdc6-4bbf-93a5-1566ceca1af3,https://www.idigbio.org/portal/recordsets/2c662e9e-cdc6-4bbf-93a5-1566ceca1af3,University of Delaware Insect Research Collection,IN,,,
5386d272-06c6-4027-b5d5-d588c2afe5e5,https://www.idigbio.org/portal/recordsets/5386d272-06c6-4027-b5d5-d588c2afe5e5,Tropicos Specimen Data,IN,,,
f016064e-c9c6-4baf-925c-e68e1190bb6d,https://www.idigbio.org/portal/recordsets/f016064e-c9c6-4baf-925c-e68e1190bb6d,Base de datos sobre la flora de Durango,OUT,,,
5ea005e8-626f-47de-afee-972e976cc3a7,https://www.idigbio.org/portal/recordsets/5ea005e8-626f-47de-afee-972e976cc3a7,"Natural History Museum, University of Oslo",OUT,,,
9d9016ef-a88f-4312-a0bf-638fc4be53ba,https://www.idigbio.org/portal/recordsets/9d9016ef-a88f-4312-a0bf-638fc4be53ba,Washburn University,IN,,,
ecb0a329-c019-4a59-abe3-fa7e72055902,https://www.idigbio.org/portal/recordsets/ecb0a329-c019-4a59-abe3-fa7e72055902,"Inventario de la biodiversidad de vertebrados terrestres de los Chimalapas, Oaxaca",OUT,,,
e881a3e2-f7ba-43c8-ae9a-11fcbfd741bb,https://www.idigbio.org/portal/recordsets/e881a3e2-f7ba-43c8-ae9a-11fcbfd741bb,University of Tennessee Bryophyte Herbarium,IN,,,
a69decc7-76ba-496a-a66e-f91049c02cf0,https://www.idigbio.org/portal/recordsets/a69decc7-76ba-496a-a66e-f91049c02cf0,Stuart K. Harris Herbarium,IN,,,
ec4acc26-ff1b-4131-a1df-a950fe31bb0e,https://www.idigbio.org/portal/recordsets/ec4acc26-ff1b-4131-a1df-a950fe31bb0e,"Vascular Plant Collection, College of Idaho, Harold M. Tucker Herbarium",IN,,,
005ac06a-3d9a-46ad-ac3c-062aaa5b7059,https://www.idigbio.org/portal/recordsets/005ac06a-3d9a-46ad-ac3c-062aaa5b7059,Muhlenberg College,IN,,,
0fcbf959-b714-4ba2-8152-0c1440e31323,https://www.idigbio.org/portal/recordsets/0fcbf959-b714-4ba2-8152-0c1440e31323,University of Maine Herbaria,IN,,,
ef59f7cc-ed42-45fc-9abc-5edfb2c8caec,https://www.idigbio.org/portal/recordsets/ef59f7cc-ed42-45fc-9abc-5edfb2c8caec,"Berea College, Ralph L. Thompson Herbarium",IN,,,
b26cc2c9-1141-4502-805a-b9dd1d83c321,https://www.idigbio.org/portal/recordsets/b26cc2c9-1141-4502-805a-b9dd1d83c321,Inventario florístico de Tetipac y sus alrededores (Sierra de Taxco),OUT,,,
99e84c7d-dd3c-40d9-9526-54f4342cda95,https://www.idigbio.org/portal/recordsets/99e84c7d-dd3c-40d9-9526-54f4342cda95,Santa Cruz Island Reserve Herbarium,IN,,,
43c69d2a-0fd2-4d34-a1ef-50d0f9c01353,https://www.idigbio.org/portal/recordsets/43c69d2a-0fd2-4d34-a1ef-50d0f9c01353,Armstrong State University Herbarium,IN,,,
7340c0df-8829-4197-9dc7-0328b8e7f5dd,https://www.idigbio.org/portal/recordsets/7340c0df-8829-4197-9dc7-0328b8e7f5dd,University of Montana Herbarium,IN,,,
ced8c9bc-e8b5-49e7-860a-289fc913860c,https://www.idigbio.org/portal/recordsets/ced8c9bc-e8b5-49e7-860a-289fc913860c,"University of Nebraska State Museum, C.E. Bessey Herbarium",IN,,,
8e5fffb5-0b22-472d-8386-de291d17d513,https://www.idigbio.org/portal/recordsets/8e5fffb5-0b22-472d-8386-de291d17d513,Shirley C. Tucker Herbarium at Louisiana State University,IN,,,
79be41bc-8142-485a-9d57-d6195f9a7c81,https://www.idigbio.org/portal/recordsets/79be41bc-8142-485a-9d57-d6195f9a7c81,University of Central Oklahoma Herbarium,IN,,,
b000920c-6f7d-49d3-9d0f-2bb630d2e01a,https://www.idigbio.org/portal/recordsets/b000920c-6f7d-49d3-9d0f-2bb630d2e01a,Farlow Herbarium (Harvard University),IN,,,
4520451d-bd3b-4095-b777-24a420d442c1,https://www.idigbio.org/portal/recordsets/4520451d-bd3b-4095-b777-24a420d442c1,Patricia Ledlie Herbarium,IN,,,
b0e9fd61-1e0f-408f-b035-d7952614d7f3,https://www.idigbio.org/portal/recordsets/b0e9fd61-1e0f-408f-b035-d7952614d7f3,"Plantas de La Frontera (ecorregión 12.1.1.1), e inventario florístico del Rancho El Aribabi, municipio de Imuris, Sonora",OUT,,,
584e9356-3882-4380-b249-342dd4a11236,https://www.idigbio.org/portal/recordsets/584e9356-3882-4380-b249-342dd4a11236,Diversidad fúngica en planicies del desierto central sonorense y centro del desierto chihuahuense,OUT,,,
b688c17c-3761-4ccd-a42f-88219f5fcff4,https://www.idigbio.org/portal/recordsets/b688c17c-3761-4ccd-a42f-88219f5fcff4,Naturalis Biodiversity Center (NL) - Crustacea,OUT,,,
53a8ce69-d9b9-4ae2-848a-dab0d4d810d1,https://www.idigbio.org/portal/recordsets/53a8ce69-d9b9-4ae2-848a-dab0d4d810d1,Florística y biogeografía de algunos bosques mesófilos de la Huasteca Hidalguense: Fase 3 (Chapulhuacán y Pisaflores),OUT,,,
2c2cc29c-3572-4568-a129-c8cbec34ccbe,https://www.idigbio.org/portal/recordsets/2c2cc29c-3572-4568-a129-c8cbec34ccbe,AMNH Invertebrate Paleontology Collection,IN,,,
0b2b87e2-5c7f-4b30-9ea4-dc3f5f25aacd,https://www.idigbio.org/portal/recordsets/0b2b87e2-5c7f-4b30-9ea4-dc3f5f25aacd,"Base de datos y catálogo para la utilización, conservación y disponibilidad de Phaseolus en México",OUT,,,
49db9725-7bdc-4c38-8548-c32994e811c1,https://www.idigbio.org/portal/recordsets/49db9725-7bdc-4c38-8548-c32994e811c1,University of Central Florida Herbarium,IN,,,
e2fda823-8a6e-4bd8-8602-924615373938,https://www.idigbio.org/portal/recordsets/e2fda823-8a6e-4bd8-8602-924615373938,Plantas exóticas del centro de México y obtención de imágenes para una flora virtual de malezas,OUT,,,
46c11153-2154-495d-89d2-7cdef6425cdb,https://www.idigbio.org/portal/recordsets/46c11153-2154-495d-89d2-7cdef6425cdb,Pennsylvania State University Herbarium,IN,,,
24aa66d3-86a3-44a7-b6a3-6a45edc1e6a9,https://www.idigbio.org/portal/recordsets/24aa66d3-86a3-44a7-b6a3-6a45edc1e6a9,Northern Territory Museum and Art Gallery provider for OZCAM,OUT,,,
b8972f6b-c67f-45c0-b348-954866e04a0f,https://www.idigbio.org/portal/recordsets/b8972f6b-c67f-45c0-b348-954866e04a0f,Brigham Young University,IN,,,
c4bb08d4-c310-4879-abee-1b3986e8e0ca,https://www.idigbio.org/portal/recordsets/c4bb08d4-c310-4879-abee-1b3986e8e0ca,KUBI Herpetology Collection,??,,,
b027383d-6705-4d06-8514-db6ef16efdb5,https://www.idigbio.org/portal/recordsets/b027383d-6705-4d06-8514-db6ef16efdb5,Seney National Wildlife Refuge,IN,,,
7f497d81-4c7e-4e06-b166-a459968b14e3,https://www.idigbio.org/portal/recordsets/7f497d81-4c7e-4e06-b166-a459968b14e3,"Miami University, Willard Sherman Turrell Herbarium",IN,,,
2cebadf7-6d52-49b2-b3a7-d4969a36aa12,https://www.idigbio.org/portal/recordsets/2cebadf7-6d52-49b2-b3a7-d4969a36aa12,George R. Cooley Herbarium,IN,,,
482990c6-da88-4d99-8cf4-ccd27ee82f44,https://www.idigbio.org/portal/recordsets/482990c6-da88-4d99-8cf4-ccd27ee82f44,South Australian Museum Australia provider for OZCAM,OUT,,,
