institutionCode,total_idig,has_collectionCode_idig,has_catalogNumber_idig,has_preparations_idig,has_scientificName_idig,has_scientificNameID_idig,has_acceptedNameUsage_idig,has_identificationID_idig,has_locality_idig,has_higherGeography_idig,has_continent_idig,has_countryCode_idig,has_stateProvince_idig,has_county_idig,has_decimalLatitude_idig,has_decimalLongitude_idig,has_coordinates_idig,has_verbatimElevation_idig,has_verbatimDepth_idig,has_image_idig,has_dateIdentified_idig,has_identifiedBy_idig,has_recordedBy_idig,has_eventDate_idig,has_recordNumber_idig,File_idig,total_gbif,has_collectionCode_gbif,has_catalogNumber_gbif,has_preparations_gbif,has_speciesKey,has_scientificName_gbif,has_scientificNameID_gbif,has_acceptedNameUsage_gbif,has_identificationID_gbif,has_locality_gbif,has_higherGeography_gbif,has_continent_gbif,has_countryCode_gbif,has_stateProvince_gbif,has_county_gbif,has_decimalLatitude_gbif,has_decimalLongitude_gbif,has_coordinates_gbif,has_verbatimElevation_gbif,has_verbatimDepth_gbif,has_image_gbif,has_dateIdentified_gbif,has_identifiedBy_gbif,has_recordedBy_gbif,has_eventDate_gbif,has_recordNumber_gbif,File_gbif,month,has_speciesKey_idig,has_speciesKey_gbif
USA074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1909,1909,1909,0,1862,1909,0,0,0,58,0,0,1596,0,0,31,31,31,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
USA108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009,1009,1009,0,881,1009,0,0,0,31,0,0,609,0,0,2,2,2,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
USA133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3606,3606,3606,0,3574,3606,0,0,0,122,0,0,259,0,0,119,119,119,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
USA134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241,241,241,0,241,241,0,0,0,98,0,0,224,0,0,27,27,27,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
USA148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2923,2923,2923,0,2266,2923,0,0,0,20,0,0,1541,0,0,6,6,6,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
USA151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3535,3535,3535,0,3279,3535,0,0,0,1241,0,0,1813,0,0,796,796,796,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
USA167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8193,8193,8193,0,7010,8193,0,0,0,4563,0,0,6993,0,0,3847,3847,3847,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
USA174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3760,3760,3760,0,3760,3760,0,0,0,0,0,0,677,0,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
USA176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2106,2106,2106,0,2100,2106,0,0,0,830,0,0,1996,0,0,43,43,43,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
USA200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1484,1484,1484,0,1046,1484,0,0,0,19,0,0,1210,0,0,2,2,2,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
USA390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6215,6215,6215,0,4816,6215,0,0,0,899,0,0,5309,0,0,485,485,485,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
USA476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,39,39,0,39,39,0,0,0,39,0,0,39,0,0,39,39,39,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
USA559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420,420,420,0,387,420,0,0,0,142,0,0,369,0,0,161,161,161,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
USA937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2542,2542,2542,0,2542,2542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
USA955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1683,1683,1683,0,1604,1683,0,0,0,1181,0,0,1634,0,0,355,355,355,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
USA956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3981,3981,3981,0,2892,3981,0,0,0,1407,0,0,3116,0,0,730,730,730,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
USA962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,510,510,510,0,510,510,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
USA970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4621,4621,4621,0,4618,4621,0,0,0,14,0,0,3819,0,0,106,106,106,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
USA971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2577,2577,2577,0,2350,2577,0,0,0,1654,0,0,2363,0,0,23,23,23,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
UTAH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
UTEX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1916,0,1916,1911,968,1916,0,0,0,0,0,1473,1476,1035,0,0,0,0,0,0,0,0,0,1564,0,1261,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
UTKH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481,481,481,0,438,481,0,0,0,480,0,0,0,440,419,0,0,0,0,0,0,0,0,478,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
UWYMED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,0,3,0,0,0,3,0,0,3,3,3,3,3,3,0,0,0,0,3,3,3,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
WOH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
WSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4178,0,4055,0,4058,4178,0,0,0,4050,0,0,4168,4140,4011,2076,2076,2076,2120,0,0,593,3453,4158,4135,3649,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
A,89817,89817,89817,NA,89817,NA,0,NA,80051,NA,NA,83532,NA,NA,NA,NA,11841,NA,NA,28214,11868,6221,89230,63796,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,246486,246486,246486,NA,NA,246486,NA,0,NA,225281,208741,NA,236574,NA,NA,NA,NA,54149,NA,NA,129829,26904,10932,245322,174846,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july,NA,223533
AASU,5061,0,5061,NA,5061,NA,0,NA,5010,NA,NA,5056,NA,NA,NA,NA,4,NA,NA,0,0,0,5008,4971,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
ALA,78961,0,78961,NA,78961,NA,0,NA,34366,NA,NA,77622,NA,NA,NA,NA,33305,NA,NA,44733,76716,77836,78960,78857,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
ALAJ,8670,0,8670,NA,8670,NA,0,NA,8571,NA,NA,1196,NA,NA,NA,NA,8249,NA,NA,8666,5946,8540,1143,8577,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
ALBC,236,0,236,NA,236,NA,0,NA,197,NA,NA,187,NA,NA,NA,NA,0,NA,NA,236,33,35,227,227,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
AMES,16638,16638,16638,NA,16638,NA,0,NA,13999,NA,NA,15517,NA,NA,NA,NA,612,NA,NA,8504,6815,2491,15750,13395,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,51297,51297,51297,NA,NA,51297,NA,0,NA,46916,50126,NA,48614,NA,NA,NA,NA,1170,NA,NA,43752,13241,4172,49672,44208,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july,NA,48026
AMNH,5704,5400,5703,NA,5407,NA,0,NA,4517,NA,NA,5094,NA,NA,NA,NA,360,NA,NA,613,2098,2639,2457,286,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,82,77,82,NA,NA,82,NA,0,NA,70,0,NA,76,NA,NA,NA,NA,4,NA,NA,1,53,54,74,0,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july,NA,39
APCR,1456,0,1456,NA,1456,NA,0,NA,46,NA,NA,1456,NA,NA,NA,NA,46,NA,NA,0,0,0,82,46,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
ARCH,4723,4723,4723,NA,4723,NA,0,NA,4285,NA,NA,4714,NA,NA,NA,NA,4,NA,NA,4288,429,679,4681,4282,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
ARIZ,35225,2,35224,NA,35225,NA,0,NA,30722,NA,NA,31754,NA,NA,NA,NA,2,NA,NA,14287,1088,31858,31860,31697,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
ASC,83581,1,80062,NA,83581,NA,0,NA,81798,NA,NA,83570,NA,NA,NA,NA,78533,NA,NA,6,2766,27235,83556,81498,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
ASU,363912,245521,220375,NA,363912,NA,0,NA,347664,NA,NA,360282,NA,NA,NA,NA,308282,NA,NA,119575,43821,209884,359751,344692,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,369412,250729,230302,NA,NA,369412,NA,0,NA,357734,0,NA,368492,NA,NA,NA,NA,313119,NA,NA,131354,39166,212892,368826,358762,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july,NA,343503
AUA,28127,0,28127,NA,28127,NA,0,NA,27898,NA,NA,28062,NA,NA,NA,NA,1637,NA,NA,27820,2944,3017,27927,3235,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
AVCH,2111,0,2111,NA,2111,NA,0,NA,0,NA,NA,2111,NA,NA,NA,NA,0,NA,NA,1071,0,0,0,0,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
AWC,1662,0,1634,NA,1662,NA,0,NA,1588,NA,NA,1642,NA,NA,NA,NA,1196,NA,NA,1607,74,222,1660,1632,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
BALT,27690,0,18608,NA,27690,NA,0,NA,26396,NA,NA,27554,NA,NA,NA,NA,166,NA,NA,15751,6606,11879,26960,25967,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
BART,3765,3765,3765,NA,3765,NA,0,NA,3070,NA,NA,3636,NA,NA,NA,NA,1579,NA,NA,3729,126,135,3701,3710,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
BBLM,4480,4480,4480,NA,4480,NA,4454,NA,4092,NA,NA,4475,NA,NA,NA,NA,1218,NA,NA,4163,243,1728,4471,4364,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
BDI,18517,0,0,NA,18517,NA,0,NA,14740,NA,NA,17204,NA,NA,NA,NA,13675,NA,NA,0,1380,1762,16657,14371,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
BDWR,2524,0,2524,NA,2524,NA,0,NA,0,NA,NA,2439,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
BEREA,24281,0,24281,NA,24281,NA,0,NA,1983,NA,NA,24232,NA,NA,NA,NA,14,NA,NA,23454,45,45,2017,1985,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,24281,0,24281,NA,NA,24281,NA,0,NA,1983,0,NA,24232,NA,NA,NA,NA,14,NA,NA,23454,1,45,2017,1993,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july,NA,24228
BHO,4900,0,4900,NA,4900,NA,0,NA,2933,NA,NA,4896,NA,NA,NA,NA,1,NA,NA,4815,668,725,3224,3154,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
BHSC,1944,0,1944,NA,1944,NA,0,NA,1943,NA,NA,1944,NA,NA,NA,NA,1814,NA,NA,1875,13,13,1944,1943,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,15242,15242,15242,NA,NA,15242,NA,0,NA,15153,0,NA,15242,NA,NA,NA,NA,10239,NA,NA,15074,833,2648,15242,15006,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july,NA,15230
BING,19758,0,19758,NA,19758,NA,0,NA,11033,NA,NA,11841,NA,NA,NA,NA,5081,NA,NA,18925,7846,10283,11347,10951,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
BLM,3712,3712,3655,NA,3712,NA,0,NA,3272,NA,NA,3540,NA,NA,NA,NA,1355,NA,NA,738,491,795,3588,3403,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
BLMAR,647,647,647,NA,647,NA,0,NA,647,NA,NA,647,NA,NA,NA,NA,268,NA,NA,0,0,0,644,647,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
BLMMD,4700,4700,4700,NA,4700,NA,4630,NA,4089,NA,NA,4552,NA,NA,NA,NA,1460,NA,NA,2536,1,2948,4611,4500,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
BOIS,10409,10409,7633,NA,10409,NA,10337,NA,10114,NA,NA,10229,NA,NA,NA,NA,386,NA,NA,7366,1760,6781,10370,9741,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
BOON,15255,0,14638,NA,15255,NA,0,NA,5326,NA,NA,15153,NA,NA,NA,NA,3375,NA,NA,10725,197,462,5644,5374,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,16127,0,15276,NA,NA,16127,NA,0,NA,5551,0,NA,15964,NA,NA,NA,NA,3592,NA,NA,11436,193,695,5889,5855,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july,NA,15785
BPBM,431733,431733,431733,NA,431733,NA,0,NA,424060,NA,NA,418110,NA,NA,NA,NA,89149,NA,NA,1,233738,279032,427902,393743,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,421066,421066,421066,NA,NA,421066,NA,0,NA,413793,311397,NA,412543,NA,NA,NA,NA,83855,NA,NA,0,174676,272271,417353,384996,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july,NA,362822
BPI,747457,0,747457,NA,710997,NA,0,NA,692318,NA,NA,692342,NA,NA,NA,NA,0,NA,NA,0,0,379319,703856,671363,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,4,4,4,NA,NA,4,NA,0,NA,3,0,NA,4,NA,NA,NA,NA,0,NA,NA,0,0,0,3,0,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july,NA,4
BRFC,623,623,623,NA,623,NA,0,NA,623,NA,NA,623,NA,NA,NA,NA,431,NA,NA,0,0,0,623,623,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,623,623,623,NA,NA,623,NA,0,NA,623,0,NA,623,NA,NA,NA,NA,431,NA,NA,0,0,0,623,623,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july,NA,612
BRIT,84285,720,81309,NA,84285,NA,0,NA,18816,NA,NA,83975,NA,NA,NA,NA,55985,NA,NA,17703,9567,12366,71260,70183,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,19346,19346,19346,NA,NA,19346,NA,0,NA,31,0,NA,17358,NA,NA,NA,NA,10374,NA,NA,0,13502,13671,17822,17234,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july,NA,13209
Brown,72097,72097,72097,NA,72097,NA,0,NA,43986,NA,NA,67603,NA,NA,NA,NA,3071,NA,NA,61895,0,0,59945,52546,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
BRU,15730,0,15730,NA,15730,NA,0,NA,5889,NA,NA,14130,NA,NA,NA,NA,14457,NA,NA,15703,2,193,14522,11527,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,15388,0,15388,NA,NA,15388,NA,0,NA,5289,0,NA,14340,NA,NA,NA,NA,14295,NA,NA,15365,0,199,14012,8909,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july,NA,14309
BRY,43699,10,43699,NA,43699,NA,0,NA,43343,NA,NA,43303,NA,NA,NA,NA,29431,NA,NA,39060,4,37546,43537,43432,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
BSN,10844,10844,10844,NA,10844,NA,0,NA,4875,NA,NA,10566,NA,NA,NA,NA,5785,NA,NA,10805,162,203,10194,9023,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
BUF,41035,41035,41035,NA,41035,NA,0,NA,40887,NA,NA,39858,NA,NA,NA,NA,0,NA,NA,0,2394,4464,37389,36963,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,56258,56258,56258,NA,NA,56258,NA,0,NA,56095,56225,NA,46153,NA,NA,NA,NA,0,NA,NA,0,2417,5132,43305,42669,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july,NA,46172
BUT,48078,43165,48077,NA,48078,NA,0,NA,45970,NA,NA,47982,NA,NA,NA,NA,2936,NA,NA,24743,552,4671,48000,46977,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,43801,43801,43801,NA,NA,43801,NA,0,NA,41674,0,NA,43801,NA,NA,NA,NA,0,NA,NA,0,0,3725,43734,42373,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july,NA,43360
BYU,5,5,5,NA,5,NA,0,NA,5,NA,NA,5,NA,NA,NA,NA,4,NA,NA,0,0,0,5,5,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,36,36,36,NA,NA,36,NA,0,NA,36,0,NA,36,NA,NA,NA,NA,35,NA,NA,0,0,0,35,32,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july,NA,0
CALVIN,4825,0,4825,NA,4825,NA,0,NA,4692,NA,NA,4760,NA,NA,NA,NA,0,NA,NA,4646,0,0,4825,4664,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
CAS,818595,778152,818595,NA,818594,NA,0,NA,782404,NA,NA,781491,NA,NA,NA,NA,243355,NA,NA,56143,155638,164454,817811,808480,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,595732,595732,595732,NA,NA,595732,NA,0,NA,595685,595028,NA,594726,NA,NA,NA,NA,121184,NA,NA,15807,162666,172584,594970,587761,NA,gbif_us_institutionCode_MIDS_2020.07.08.csv,july,NA,571333
CATA,2832,2832,2832,NA,2832,NA,0,NA,2832,NA,NA,2832,NA,NA,NA,NA,1475,NA,NA,0,0,0,2827,2829,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
CAU,5377,0,5377,NA,5377,NA,0,NA,1693,NA,NA,5375,NA,NA,NA,NA,1532,NA,NA,2523,273,296,1707,1668,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,july,NA,NA
