institutionCode,total_idig,has_collectionCode_idig,has_catalogNumber_idig,has_preparations_idig,has_scientificName_idig,has_scientificNameID_idig,has_acceptedNameUsage_idig,has_identificationID_idig,has_locality_idig,has_higherGeography_idig,has_continent_idig,has_countryCode_idig,has_stateProvince_idig,has_county_idig,has_decimalLatitude_idig,has_decimalLongitude_idig,has_coordinates_idig,has_verbatimElevation_idig,has_verbatimDepth_idig,has_image_idig,has_dateIdentified_idig,has_identifiedBy_idig,has_recordedBy_idig,has_eventDate_idig,has_recordNumber_idig,File_idig,total_gbif,has_collectionCode_gbif,has_catalogNumber_gbif,has_preparations_gbif,has_speciesKey,has_scientificName_gbif,has_scientificNameID_gbif,has_acceptedNameUsage_gbif,has_identificationID_gbif,has_locality_gbif,has_higherGeography_gbif,has_continent_gbif,has_countryCode_gbif,has_stateProvince_gbif,has_county_gbif,has_decimalLatitude_gbif,has_decimalLongitude_gbif,has_coordinates_gbif,has_verbatimElevation_gbif,has_verbatimDepth_gbif,has_image_gbif,has_dateIdentified_gbif,has_identifiedBy_gbif,has_recordedBy_gbif,has_eventDate_gbif,has_recordNumber_gbif,File_gbif,month,has_speciesKey_idig,has_speciesKey_gbif
BHSC,17729,17729,17729,0,17729,0,0,0,17632,0,17728,17729,17729,17729,10460,10460,10460,12768,0,17552,3055,3281,17729,17632,17630,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,18315,18315,18315,0,18300,18315,0,0,0,18216,0,0,18315,18315,18315,10973,10973,10973,13101,0,17947,884,3413,18315,18040,18214,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
BING,19758,0,19758,0,19758,0,0,0,11033,0,11794,11841,11090,7631,5082,5081,5081,4142,0,18925,7846,10283,11347,10951,11092,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
BLM,3712,3712,3655,0,3712,0,0,0,3272,0,3540,3540,3543,3458,1355,1355,1355,814,0,738,491,795,3588,3403,2028,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
BLMAR,647,647,647,0,647,0,0,0,647,0,647,647,647,647,268,268,268,551,0,0,0,0,644,647,647,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
BLMMD,4700,4700,4700,0,4700,0,4631,0,4087,4557,3158,4552,3159,4546,3643,3643,1460,3515,0,2534,1,2949,4611,4500,1175,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
BOIS,10727,10727,7949,0,10727,0,10659,0,10434,10581,10295,10547,10328,8188,702,702,702,6861,0,7367,1760,6801,10688,10059,7914,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
BOON,16109,0,15258,4,16109,0,0,0,5541,0,15889,15950,15742,15155,3591,3590,3590,235,0,11421,197,695,5878,5594,3533,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,16127,0,15276,4,15785,16127,0,0,0,5551,0,0,15962,15757,15165,3592,3592,3592,235,0,11436,193,695,5889,5855,3540,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
BPBM,431733,431733,431733,2,431733,0,0,0,424060,318947,416816,418110,287132,2925,89410,89614,89149,200019,23892,1,233738,279032,427902,393743,406415,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,421066,421066,421066,4,362822,421066,0,0,0,413793,311397,28850,412423,279434,2687,83855,83855,83855,199968,20464,0,174676,272271,417353,384996,396391,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
BPI,747457,0,747457,0,710997,0,0,0,692318,0,688118,692342,431916,27695,0,0,0,0,0,0,0,379319,703856,671363,142046,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,4,4,4,0,4,4,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
BRFC,623,623,623,0,623,0,0,0,623,0,623,623,623,623,431,431,431,0,0,0,0,0,623,623,0,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,623,623,623,0,612,623,0,0,0,623,0,623,623,623,623,431,431,431,0,0,0,0,0,623,623,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
BRIT,127423,13315,124365,395,127423,0,0,0,61013,0,126611,126825,122934,99755,63993,63991,63990,15112,17,54423,21301,25264,114186,111295,112614,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,19342,19342,19342,0,13205,19342,0,0,0,31,0,16317,17358,17295,16859,10374,10374,10374,0,0,0,13502,13671,17822,17234,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
Brown,73380,73380,73380,0,73380,0,0,0,44865,0,68349,68837,58344,25439,3300,3300,3300,0,0,70787,0,0,61103,53585,25279,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
BRU,15730,0,15730,0,15730,0,0,0,5889,0,13732,14130,12638,8268,14457,14457,14457,9,0,15703,2,193,14522,11527,198,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,15388,0,15388,0,14309,15388,0,0,0,5289,0,0,14305,12518,8448,14295,14295,14295,9,0,15365,0,199,14012,8909,186,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
BRY,43699,10,43699,0,43699,0,0,0,43343,0,43140,43303,43304,39224,29431,29431,29431,34458,0,39060,4,37546,43537,43432,39885,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
BSN,10844,10844,10844,0,10844,0,0,0,4875,0,10488,10566,10443,9578,5785,5785,5785,392,1,10805,162,203,10194,9023,4856,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
BUF,41035,41035,41035,0,41035,0,0,0,40887,41010,39908,39858,38156,34519,0,0,0,609,0,0,2394,4464,37389,36963,13785,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,53787,53787,53787,0,41371,53787,0,0,0,53624,53754,46202,46135,44018,39594,0,0,0,705,0,0,2417,5132,43291,42662,15786,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
BUT,48632,43719,48631,0,48632,0,0,43719,46513,0,48484,48536,47749,7104,2937,2936,2936,349,0,47865,552,4389,48550,45422,37360,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,43719,43719,43719,0,43276,43719,0,0,43719,41602,0,0,43719,43719,4067,0,0,0,0,0,0,0,3440,43652,40831,32526,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
BYU,5,5,5,4,5,0,0,0,5,5,5,5,5,5,4,4,4,0,0,0,0,0,5,5,0,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,36,36,36,0,0,36,0,0,0,36,0,0,36,35,3,35,35,35,11,0,0,0,0,35,32,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
CALVIN,4825,0,4825,0,4825,0,0,0,4689,0,4758,4760,4766,4662,0,0,0,0,0,4643,0,0,4825,4662,4785,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
CAS,841544,801101,841544,1551,841543,0,0,0,805344,584792,805229,804236,796197,724516,264047,263989,247404,472613,0,56144,162663,172367,840758,830778,839837,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,603113,603113,603113,591,578442,603113,0,0,0,603066,602409,602317,602083,593372,519310,124671,124671,124671,361428,0,15807,165590,176000,602350,595036,602521,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october,NA,NA
CATA,2832,2832,2832,0,2832,0,0,0,2832,0,2832,2832,2832,2832,1475,1475,1475,2642,0,0,0,0,2827,2829,2753,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
CAU,5377,0,5377,0,5377,0,0,0,1693,0,5352,5375,5344,5157,1532,1532,1532,42,0,4876,273,296,1707,1668,1631,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
CBG,68,0,68,0,68,0,0,0,68,0,68,68,0,0,68,68,68,0,0,68,68,24,68,68,0,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
CCNL,1067,1067,1067,0,1067,0,0,0,574,0,921,924,919,811,0,0,0,0,0,1064,164,164,959,919,549,cleaned_idigbio_us_institutionCode_MIDS_2020-10-09-csv.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,october,NA,NA
