datasetKey,name
eeb4872b-7fb4-4ecd-8ce5-82e194f04735,"Robert W. Freckmann Herbarium at the University of Wisconsin, Stevens Point"
30ab9c2a-0b54-4c04-84ca-bc7abdd90b52,"Vertebrate Zoology Division - Ichthyology, Yale Peabody Museum"
05c029de-734c-450a-a41a-56061b7ebb18,Michigan State University Herbarium Vascular Plants
ec248223-f277-4c02-b1fa-60056b5a689a,Massey Herbarium (Virginia Tech)
1844b78c-58c1-4031-98c9-54f97fc16e09,Estudio biosistemático del género Bouteloua de México
4d89070b-5dea-4a12-8a09-3f65ba33dba1,"Cryptogamic Herbarium, Michigan Technological University"
b7a79601-c07b-46d5-bd09-d4472b0d9431,UTEP Fossils (Arctos)
36d35b23-113e-4633-90ec-19d265a3b5f6,The New York Botanical Garden Herbarium (NY)
d68063b0-2d3e-4a7c-bf2b-cf2a1fb629f9,"Base de datos de colecciones de maíces nativos, teocintles y Tripsacum de México"
431b56fc-d016-459a-97ab-1e9c8168a7f0,HJ - Herbario Jataiense
4c46db9d-74d7-4e45-9ed2-0da40ec6b44f,VMNH SVDM Invertebrate Paleontology
0c94911f-6f18-40a2-a0c3-95c845bc41d7,CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia
dddf9315-7819-4289-b587-6be72e4894d2,"Bryophyte herbarium TRH, NTNU University Museum"
65536dcd-7bb2-44e5-af3f-4a13f08e53d0,Academy of Natural Sciences of Drexel University
8f3b62fb-56ec-49e8-9f8f-bb257348291f,"University of Nebraska State Museum, C.E. Bessey Herbarium"
1b42f60a-906a-4639-96e7-c5fcfc3231c3,"Inventario florístico de las Cactáceas del estado de Tamaulipas, México"
77d89822-9c2d-47b8-ab06-62819d13d377,Conocimiento de la diversidad y distribución actual del maíz nativo y sus parientes silvestres en México
6eb1dbc4-ea33-456b-8782-0a953900d37a,William Jewell College Herbarium
2c07346d-2239-479b-91e4-787a8f589457,UFRN-Fungos - Herbário UFRN - Fungos
0220907a-0463-4ae0-8a0b-77f5e80fff40,"Vertebrate Paleontology Division, Yale Peabody Museum"
4d9103e7-fe58-4dc5-9fa8-e739949fd3f3,Canadian Museum of Nature Fish Collection
c5eeb223-0515-423a-a51a-151426c8f60d,Eastern Michigan University Herbarium
d8862887-ff5c-4caa-9d61-f1958887ebc1,PACA-AGP - Herbarium Anchieta
cdb6ec43-935e-4da2-8798-71e40ca6d12a,Naturalis Biodiversity Center (NL) - Mollusca
b1db48d5-22e7-4f5e-bce2-d267b447cdaa,Lista florística de la Costa Grande del estado de Guerrero
1f2933c1-3f7a-4521-9b16-2c34b369ee95,Uso y monitoreo de los recursos naturales en el Corredor Biológico Mesoamericano (áreas focales Xpujil-Zoh Laguna y Carrillo Puerto)
01dfe0f4-24fe-447e-9f8f-1db7f8394b89,Lund Museum of Zoology - Insect collections (MZLU)
4e3043a6-d48a-4a35-b5fb-f67d50cbc158,University of North Carolina at Chapel Hill Herbarium
4c9d08ce-71c1-47b8-a572-2d40e5984c49,Salem College
fa1518c7-2cb3-49a3-98a6-67e0581b7669,"Louis-Marie Herbarium, Université Laval"
616857b7-f952-44ef-9b6f-576dc1e65b51,The vascular plants collection (P) at the Herbarium of the Muséum national d'Histoire Naturelle (MNHN - Paris)
9368e302-f8e7-4714-aed4-db2faa861e5c,"Lichen Collection, University of Washington Herbarium"
c6e89321-fc23-4cba-ad79-be3e52edfb6d,University of New Hampshire
c3134980-bf5c-49b8-a289-790d45f02c86,University of Southern Mississippi Herbarium
6d4b658a-90b4-4639-8b06-b7f07637f6aa,"University of Vermont, Pringle Herbarium, Algae Collection"
beecd160-a96c-46fc-bdce-7dcb7024d473,"Fungi Collection, University of Washington Herbarium"
68abd0b8-cff1-4c84-a2d9-bd4ac6df4fa4,HUCO - Herbário da Universidade Estadual do Centro-Oeste
79aa7602-a963-44f3-82dd-e141a387adb8,Morehead State University Herbarium
f2f68b10-b620-4ef8-ac32-c799b38b6d56,"Fungi Collection, Bureau of Land Management, Medford District Herbarium"
bc41afff-4d56-421e-bc87-45e18b4fe64a,"Entomological collections, UiB"
6ca0f584-8a74-42c6-9fdc-041502bc0a33,"Botanical Museum, Copenhagen, the Phycology Herbarium"
e85a9948-9c9e-451d-9485-b2b4cb7b73d5,"University of Florida, Florida Museum of Natural History"
77b762ba-7cda-4617-97d7-e78df7f6dfab,State University of New York - Binghamton
9c4f4765-2d02-452c-9ae9-cdd1d4846d5d,Herbier G. Garapin (BOUM)
d2217bca-3a93-4407-bb56-087afa000cbc,"Vascular Plant Herbarium, UiB"
5889291d-9105-4740-a30f-2d9d2469c264,Miami University
b1f0612a-bc21-424f-b9c1-3bba69ad4f54,KUBI Paleobotany Collection
a5b1b714-7470-4635-805d-a0cdcc6a6a4b,HDJF - Herbário Dendrológico Jeanine Felfili
f5118065-6cf3-402d-a35d-8fdd2830f4da,"Estudio de la diversidad florística de la región de Nizanda en el Istmo de Tehuantepec, Oaxaca"
5486b66d-2082-433d-9223-bd789ebca29c,Converse College Herbarium
de41423b-7326-413a-880f-58176ef95ec7,HUCPE - Herbário da Universidade Católica de Pernambuco
204fbebc-37cc-4331-a2be-11f38949561c,Utah State University Uintah Basin
3c367a2d-eec0-4ef1-b3bc-4cbebb320c5a,"Vascular Plant Collection, University of Alaska, Anchorage Herbarium"
271a9ce9-c6d3-4b63-a722-cb0adc48863f,"Museum of Comparative Zoology, Harvard University"
fd09683f-efe8-446c-9e43-7d11f62e597c,"Integración de bases de datos, actualización y sistematización de la colección de flora del Herbario Eizi Matuda (HEM)"
1d53fb30-d749-4e7c-beab-f83a0354fdf7,Catálogo taxonómico y biogeográfico de los radiolarios (orden Polycystina) de la región central y sur del Golfo de California
f2696243-01cd-4b91-9c13-1b30c8a85898,"Computarización de la Colección de plantas acuáticas mexicanas del Herbario Nacional (MEXU), 3a Etapa"
394dda75-c336-4ca3-acdd-1c2a317d7361,"Inventario florístico de la Sierra de San Carlos, Tamaulipas"
f3a5ec1a-49dd-4a52-8bd8-67cacae7a7ac,Fairchild Tropical Botanic Garden Herbarium
6b6c13d9-7789-4da0-99d7-6786322e2612,The echinoderm collection (IE) of the Muséum national d'Histoire naturelle (MNHN - Paris)
17cea35c-721f-4d9b-b67f-d29250064d25,Santa Barbara Botanic Garden Lichen Herbarium
