uuid,name
09a3fcf2-55a1-488f-aa42-f103bdce0536,University of Illinois Herbarium
5277e72c-9e53-4c98-85f1-ee413bc473cd,Navajo Nation Herbarium
07b7085e-90c6-446b-bf05-70dd9ce77ecb,"Crustáceos malacostracos de la cuenca del río Papaloapan, Veracruz"
3a64a2f1-4880-4c61-b2ad-2fc4dafb9aa5,Parámetros para medir la biodiversidad y su cambio. Análisis ecológico y biogeográfico
73c8068d-07f8-4c8e-a7df-d20a29ad21f9,"Ictiofauna de los ríos Papagayo, Atoyac y Coyuca"
5fb78d38-455f-4437-b8b6-95af83e5f3df,"Biodiversidad acuática del río Amacuzac, Morelos, México"
d5faeefc-956b-4724-ac1a-b46d489de01d,Colecta de maíces nativos en regiones estratégicas de la Península de Yucatán
db3181c9-48dd-489f-96ab-a5888f5a938c,SDSM Invertebrate Collections
b4bcc255-4acf-4966-b9b3-af9dd4e458d1,Field Museum of Natural History (Zoology) Amphibian and Reptile Collection
93341fe7-38f8-4ef2-8dfc-ae550aa522dc,CUMV Mammal Collection
d6f12b28-bb9f-44f9-9000-08f644658bf8,Fort Hays State University Sternberg Museum of Natural History - Invertebrate
03e04b8e-1dea-49ac-8a46-4276ddcfed21,Snow College Herbarium
b6215017-a6a2-4363-b7cd-8c7d934e3f7a,Genotipificación de especies de la ictiofauna del Sistema Pánuco-Tamesí a través de la generación del código de barras de ADN mitocondrial
6d710d01-54f6-448b-bbf9-adee9e46fc3c,Diversidad y riqueza vegetal de los substratos rocosos del centro del estado de Veracruz
508ab646-d530-49aa-ac3c-0e2aba9a8011,"Sistematización de la colección entomológica y actualización de la colección del herbario CHIP del Instituto de Historia Natural y Ecología (IHNE), Chiapas"
e1c7bc41-50a4-4723-b8b3-f970844ffb65,Bell Musuem paleobotany
95c52c0c-c3d3-46d0-9515-cb5cc9423f6a,Diagnóstico de las especies invasoras de peces en el área oaxaqueña de la Reserva de la Biosfera Tehuacán-Cuicatlán
46c11153-2154-495d-89d2-7cdef6425cdb,Pennsylvania State University Herbarium
e165b318-d5f7-40d5-a0d9-82ba3c31060f,MLZ Mammal Collection (Arctos)
7c3067c3-c229-4e73-b4aa-c187997ee530,USGS PWRC - Native Bee Inventory and Monitoring Lab (BIML)
bf5b0620-1ff0-45af-a2eb-96f3c739edf2,UESC - Herbário Universidade Estadual de Santa Cruz
17ff84d1-e3e9-43d1-a746-745ef8d339d0,CEPEC - Herbário do Centro de Pesquisas do Cacau
5302ea7f-1c6f-4fc9-8c20-97dd38c0c783,UTEP Birds (Arctos)
30ab9c2a-0b54-4c04-84ca-bc7abdd90b52,"Vertebrate Zoology Division - Ichthyology, Yale Peabody Museum"
d315c4a3-0bee-49d1-8d03-726358937cde,Hymenoptera Institute Collection
e38af226-7109-4f99-a6f1-9fd3bec5638d,UCM Amphibian and Reptile Collection (Arctos)
a89f64ab-8b3b-4267-b18a-3207d25a45ad,HPBR - Herbário Padre Balduino Rambo
4f8c3594-d7b2-4985-8dd9-1ae77f9187d4,The Diptera collection (ED) of the Muséum national d'Histoire naturelle (MNHN - Paris)
e86d229d-b29c-458c-b01a-f4112270567e,La familia Asclepiadaceae en México
