institutionCode,total,has_collectionCode,has_catalogNumber,has_preparations,has_speciesKey,has_scientificName,has_scientificNameID,has_acceptedNameUsage,has_identificationID,has_locality,has_higherGeography,has_continent,has_countryCode,has_stateProvince,has_county,has_decimalLatitude,has_decimalLongitude,has_coordinates,has_verbatimElevation,has_verbatimDepth,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_recordNumber
US,3354275,3354275,3070652,21225,3126314,3354275,0,0,0,3097823,3349379,2999602,3344880,2636120,433881,553912,553912,553912,22287,16048,714754,0,442216,3341878,3048294,3330082
CMC,22397,1873,22396,0,20401,22397,0,0,0,20818,0,1318,21842,21371,20163,5728,5728,5728,695,0,20079,10638,11000,20836,20305,20324
UD,64,64,64,0,63,64,0,0,0,32,0,0,64,64,64,64,64,64,0,0,0,63,64,57,64,0
ENLC,3,3,3,0,3,3,0,0,0,3,0,0,3,3,3,3,3,3,2,0,3,3,3,3,3,3
BHSC,17118,17118,17118,0,17105,17118,0,0,0,17057,0,0,17118,17118,17118,9670,9670,9670,10212,0,17013,885,4185,17118,16751,17056
UNM,128420,128420,121537,122407,125571,128420,0,0,0,124472,2,2,128306,128290,128086,76783,76783,76783,77010,0,117067,32045,45417,128245,123970,124339
USA956,3981,3981,3981,0,2892,3981,0,0,0,1407,0,0,3116,0,0,730,730,730,0,0,0,0,0,0,0,0
MACF,6164,0,5570,0,6111,6164,0,0,0,5631,0,0,6143,6053,5052,1362,1362,1362,2079,0,5570,769,1867,6140,6055,4967
DAV,138094,26908,52847,0,132675,138094,0,0,0,137964,0,0,138064,138048,128745,107850,107850,107850,68879,0,50270,2676,60558,138084,132372,136881
ECON,6176,6176,6176,6176,5897,6176,0,0,0,6026,6169,6169,6122,5845,3584,53,53,53,518,0,5378,522,275,6127,4484,2283
NMSU,3,3,3,0,0,3,0,0,0,2,0,0,3,3,3,1,1,1,0,0,0,0,0,3,3,0
CM,534999,534999,534999,9,517080,534999,0,0,0,517482,7,7,533008,486946,400482,266995,266995,266995,146269,0,122606,5,254464,528389,461725,515149
NHA,57712,0,57712,0,56139,57712,0,0,0,57712,0,0,57696,56853,51438,57662,57662,57662,9783,31,57710,2235,3389,57637,55915,1233
USA971,2577,2577,2577,0,2350,2577,0,0,0,1654,0,0,2363,0,0,23,23,23,0,0,0,0,0,0,0,0
A,246559,246559,246559,215574,223580,246559,0,0,0,225347,208814,208814,236644,218536,136069,54204,54204,54204,18545,0,129841,29296,11152,245392,183022,152321
NAUF,38,38,38,5,0,38,0,0,0,36,0,0,38,38,35,38,38,38,0,0,5,5,29,38,38,0
USA148,2923,2923,2923,0,2266,2923,0,0,0,20,0,0,1541,0,0,6,6,6,0,0,0,0,0,0,0,0
OCLA,12234,12234,12234,0,11990,12234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LACM,187,187,187,152,1,187,0,0,0,187,187,187,187,187,182,181,181,181,0,0,17,112,187,183,127,0
PBDB,87114,87114,0,61589,16081,87114,0,0,131,48393,86337,74866,86989,61169,20747,87114,87114,87114,0,0,0,0,0,87114,0,0
UConn,171062,171062,171062,0,161832,171062,0,0,0,170254,20959,0,169656,168294,157471,155614,155614,155614,34935,1096,0,0,0,168669,166193,105527
BYU,36,36,36,0,0,36,0,0,0,36,0,0,36,35,3,35,35,35,11,0,0,0,0,35,32,0
GUAM,595,595,595,0,0,595,0,0,0,592,0,0,580,80,0,242,242,242,0,0,0,7,2,434,570,38
HWML,80,80,80,0,2,80,0,0,0,80,0,74,75,61,8,72,72,72,0,0,0,0,80,80,8,0
NCSM,4025,4025,4025,2089,2027,4025,0,0,0,1691,0,2077,4009,4008,3702,1128,1128,1128,2,0,1927,1815,3722,3856,1920,1936
DUKE,283768,0,283046,0,267485,283768,0,0,0,282749,0,0,282961,275354,167963,150502,150502,150502,91830,0,9483,6698,139433,283311,243543,277905
OMNH,2080,2080,2080,0,179,2080,0,0,0,0,0,0,2002,1909,1824,0,0,0,0,0,0,0,0,0,0,0
SD,252784,0,31869,0,248936,252784,0,0,0,250921,0,0,252144,250116,252784,208856,208856,208856,69698,0,30319,0,132625,252231,247663,252784
CMNH,129,129,129,129,14,129,0,0,0,94,0,128,126,123,115,0,0,0,0,0,0,0,0,72,0,0
NCU,429378,262,429355,0,419211,429378,0,0,0,154760,0,0,427455,424193,410743,43909,43909,43909,6054,0,395931,46083,94707,171558,165638,154390
KNWR,2502,2502,2502,2493,2308,2502,0,0,0,2502,2502,2502,2502,2502,97,2502,2502,2502,0,0,153,1766,2502,1714,2502,138
NEON,3462,3462,3462,0,1018,3462,0,0,0,3462,0,0,3462,3456,3462,3462,3462,3462,0,0,201,79,79,5,3462,1
