institutionCode,total,has_collectionCode,has_catalogNumber,has_scientificName,has_acceptedNameUsage,has_locality,has_countryCode,has_coordinates,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate
smu,804,0,804,804,0,650,794,13,0,231,320,804,631
inhs,83,83,83,83,0,81,81,61,0,2,31,27,76
ho,168232,168232,168232,168232,0,167570,167533,153150,0,0,0,167865,160377
vsc,72641,68881,72640,72641,0,11855,72371,4425,72640,15668,32594,72633,72294
kstc,50877,50877,50822,50866,0,50498,48547,22569,0,0,38196,50510,50221
f,918715,918707,711567,918715,0,279704,861908,742406,653567,106888,157253,692170,8
hjaef,1064,1064,1064,1064,1059,1056,1064,916,964,607,756,1064,1010
msub,13444,0,10747,13444,0,11701,13356,73,0,4,4139,11956,12207
obi,46093,44971,45767,46093,0,45897,46053,24772,1009,226,417,46040,45702
uwfp,21517,0,21517,21517,0,304,21282,304,20699,0,0,304,1
unaf,4878,0,3153,4878,0,4843,4875,2375,2379,2328,2378,4869,4838
muhw,41956,0,41467,41956,0,16001,40475,1435,40375,5440,8278,16673,15579
wwb,4962,0,4962,4962,0,0,0,0,0,0,0,0,0
taes,846,0,846,846,0,845,841,839,845,837,839,846,838
cp,208,208,208,208,201,208,208,177,0,0,208,208,208
ciftroh-inifap,29,29,29,29,28,29,29,29,0,0,29,29,29
vmnh,70,70,70,70,0,70,70,39,69,0,54,57,46
sqb,3230,0,3220,3230,0,3203,0,3230,0,0,3225,3223,3181
"museu nacional, universidade federal do rio de janeiro (mnrj)",55,0,55,55,0,0,20,1,0,0,54,0,0
cpatsa,415,415,415,402,0,92,0,0,0,0,0,266,0
ucsc,7348,7337,7338,7348,0,7270,7348,4489,1,0,0,7345,7065
"c.a. triplehorn insect collection, ohio state university, columbus, oh (osuc)",1,1,1,1,0,1,1,1,0,1,0,1,1
mont,53260,44764,53216,53260,44098,52305,52997,40089,52587,24078,27611,53063,51420
trom,163702,163702,163702,163702,0,163368,163565,145227,12452,67939,161814,163503,0
flas,171310,0,171309,170991,0,63834,164107,74058,127696,7853,41337,164273,158771
mna,36637,18,36346,36637,0,35775,36560,21570,3713,11889,28965,36150,30086
zmbn,4,4,4,4,0,4,4,4,0,0,0,4,0
ull,1,1,1,1,1,1,1,1,0,0,1,1,1
rb,17019,10871,17019,17019,0,10002,571,1147,0,1378,2243,4901,9647
lacm,77,77,77,77,0,77,77,76,4,48,77,77,48
moar,26079,0,25231,26079,0,21135,23120,20856,23218,70,157,23201,21274
k,785323,785323,0,785323,0,598856,472143,218156,486638,278670,314300,763303,570668
buf,41035,41035,41035,41035,0,40887,39858,0,0,2394,4464,37389,36963
kaib,19,0,0,19,0,1,19,1,0,0,0,19,1
rhnm,6,0,6,6,0,6,6,6,6,5,5,6,6
ncu,508311,276,508155,508311,0,221700,501427,104960,400106,129833,135209,239547,221150
grch,2325,2325,2325,2325,0,2251,2325,1719,0,204,238,2305,2242
itcv,10,10,10,10,7,10,10,10,0,0,10,10,10
crmo,2649,2649,2649,2649,2624,2628,2644,586,2631,2004,2502,2648,2619
wsp,76,0,76,76,0,75,76,76,75,0,0,76,76
umfk,46285,0,46285,46285,0,46280,46285,747,0,0,46253,46284,46274
ds,118417,118417,118417,118417,0,118417,118417,73217,0,0,0,118417,116188
ucla,690,690,690,690,0,654,690,492,0,0,0,690,653
ills,333143,2745,114868,333143,0,310542,332305,79336,69292,395,16680,332523,308946
icmyl-unam,69619,69619,69619,69619,63963,69619,69619,69619,0,0,69619,69619,69618
ucd,102124,102124,102124,102124,0,101980,102124,68001,0,0,0,101946,100088
boston university,10844,10844,10844,10844,0,4875,10566,5785,10805,162,203,10194,9023
bolus,3436,0,3436,3436,0,3436,3400,1344,0,0,995,0,2731
"universidade regional de blumenau, furb",64349,64349,64349,62075,0,56355,89,56772,0,54394,55057,64349,0
edoblm,1328,0,1328,1328,0,1289,1327,1301,0,477,1159,1327,1298
unlv,3143,0,3143,3143,0,3138,3143,1601,3143,1597,1682,3141,3134
cirpac-inifap,40,40,40,40,40,40,40,40,0,0,40,40,40
eb-buap,10503,10503,10503,10503,8930,10503,10502,10105,0,0,10503,10503,10376
siu,6785,0,6785,6785,0,6723,6768,409,6785,398,2838,6770,4770
fcb-uanl,305,305,305,305,300,305,305,305,0,0,305,305,305
central connecticut state university,1785,1785,1785,1785,0,831,1770,0,1784,50,1120,1771,1731
gms,8142,0,8141,8142,0,8141,8101,8023,8005,0,0,8037,7877
wam,172,172,172,172,0,0,172,33,0,162,155,149,0
nys,43264,39805,43264,42739,0,42108,41407,0,0,0,0,36472,37130
gb,135798,135798,135798,135798,0,135325,135688,135795,0,1110,2001,135624,0
blmmd,4700,4700,4700,4700,4630,4089,4552,1460,2536,1,2948,4611,4500
gvsc,3143,0,3143,3143,0,2894,2896,13,3080,3015,3023,3090,2909
ume,88461,88461,88461,88461,0,50797,88146,80500,0,0,0,87330,0
ib-cucba-udg,15447,15447,15447,15447,15304,15447,15447,15208,0,0,15447,15447,15230
cns-ut,8288,8288,8288,8288,7369,8288,7496,4853,0,0,8288,8288,7975
sdsm,1059,1059,1059,1059,0,0,1041,0,0,0,0,0,61
miss,75867,0,75390,75867,0,74819,75839,23571,74564,2696,3051,75855,74228
mary,53862,0,48706,53862,0,45580,53734,30889,44778,599,664,48109,45290
universidade federal de mato grosso,8469,8469,8469,6990,0,8292,1,7675,0,3693,3831,8224,0
csu,2525,0,2101,2525,0,2385,2524,1719,1587,0,1821,2259,2359
uach,68400,68400,68400,68400,66618,68400,68086,52588,0,0,68400,68400,68038
jfbm,12,12,12,12,0,12,12,8,0,0,0,12,12
nhmuk,565164,565164,564816,565152,0,36691,457396,343632,137265,111429,124598,524101,0
dna,240722,240722,240722,240722,0,237796,240378,235541,0,0,6153,240606,240087
ibunam,137096,137096,137096,137096,131624,137096,134049,124595,0,0,135384,137096,135120
canl,30993,0,30993,30993,0,30304,30947,28827,0,0,21888,30962,0
cicy,69705,69705,69705,69705,66563,69705,68342,65251,0,0,69703,69705,68765
ids,60851,59236,60647,60851,57974,60140,60423,23909,59847,56807,58670,60815,59875
bdi,18517,0,0,18517,0,14740,17204,13675,0,1380,1762,16657,14371
western connecticut state university,5775,5775,5773,5775,0,1757,5526,3667,4482,20,27,5701,5654
uaaan,1448,1448,1448,1448,1444,1448,1448,1336,0,0,1448,1448,1391
dbg,87474,87474,84089,87474,0,80833,84104,70170,78886,9898,14814,85214,85042
hudc,8736,0,8736,8736,0,1662,1969,6,8727,19,54,1985,1893
cucei-udg,16,16,16,16,16,16,16,4,0,0,16,16,3
nmv,412,412,412,412,0,410,412,348,0,277,307,330,271
uva,213,213,213,213,0,213,213,22,213,0,0,213,199
ud,66,66,66,66,2,35,66,62,0,62,66,59,62
"universidade federal de sergipe, ufs",39833,39833,39833,39691,0,35201,17,39829,0,29931,31120,39808,0
sdsu,33534,33534,33533,33534,0,32308,33532,18416,2,16656,16694,33282,32934
woll,9392,9392,9392,9392,0,9383,9391,8751,0,0,0,9392,8830
wnc,6625,0,6625,6625,0,6599,6622,6560,6599,6415,6469,6625,6584
eky,80178,0,76607,80178,0,75421,80166,2779,74448,12439,13842,79967,76447
instituto nacional de pesquisas da amazônia (inpa),251693,251693,249873,249764,0,243022,9469,0,0,153675,165296,251693,248964
fsu,165291,84315,165291,165289,0,70215,163019,73159,150158,2005,0,86340,85992
ariz,35225,2,35224,35225,0,30722,31754,2,14287,1088,31858,31860,31697
"instituto federal de educação, ciência e tecnologia",11935,11935,11935,11228,0,10893,101,4605,0,8138,8261,11935,0
sc,3872,0,3872,3872,0,656,3810,306,2730,654,655,662,582
sapcl,258,0,258,258,0,253,239,116,0,247,249,256,230
o,809629,809629,809629,809629,0,803652,798056,720316,311993,583001,666067,800619,157501
ueg,7621,7621,7621,7117,0,6563,47,2535,0,3291,6684,7620,0
circe-cevamex-inifap,17494,17494,17494,17494,16944,17494,17494,16933,0,0,17494,17494,15800
uw,642,642,642,642,588,642,642,635,0,0,642,642,636
ym-yose,9204,9204,9204,9204,0,9105,9204,6094,0,0,0,9180,8759
uabcs,3717,3717,3717,3717,3544,3717,3717,2865,0,0,3716,3717,3716
cinc,41880,0,41879,41880,0,32488,41434,1198,41734,13730,17562,36446,33590
canb,833330,833330,833330,833330,0,818701,830170,753736,0,498291,577694,833330,823936
but,48078,43165,48077,48078,0,45970,47982,2936,24743,552,4671,48000,46977
ceplac,2520,2520,2520,2302,0,2306,22,0,0,0,0,2520,0
mur,1,0,1,1,0,1,1,1,1,0,0,1,1
sd,127440,127440,127440,127440,0,127197,127440,114930,0,0,0,127437,126953
jeo,1535,1535,1535,1535,1046,1535,1535,1535,0,0,1535,1535,1504
unicap,1458,1458,1458,1316,0,1404,0,1369,0,693,729,1458,0
ufrn,2695,2695,2695,2690,0,2600,16,2432,0,472,1102,2695,0
"sel, usf",61,0,61,61,0,61,61,23,61,0,0,61,61
universidade regional do cariri,8223,8223,8223,6349,0,7140,0,1996,0,3105,3705,8223,0
utc,2614,2614,2614,2614,0,2553,2613,1245,2,225,259,2612,2392
oee,129,129,129,129,128,129,129,129,0,0,129,129,129
hunt,5633,0,5633,5633,0,163,5631,120,5549,3,3,3614,3578
ufma,10710,10710,10710,9657,0,8949,7,10594,0,2156,2318,10281,0
wcuh,27994,5765,27993,27994,0,6471,27955,3174,19339,339,638,5355,6091
bblm,4480,4480,4480,4480,4454,4092,4475,1218,4163,243,1728,4471,4364
brfc,623,623,623,623,0,623,623,431,0,0,0,623,623
fcf-uanl,2044,2044,2044,2044,1370,2044,2044,2041,0,0,2044,2044,2041
hbsh,2426,0,2426,2426,0,586,2420,301,1967,668,668,674,587
uesc,16517,16517,16517,13004,0,1006,6,10834,0,2557,2520,15592,0
hsu,1,1,1,1,0,0,0,0,0,0,0,1,0
mbm,286618,286618,286618,280748,0,237338,264335,20934,0,46588,236933,286618,0
usnm,80789,80789,80788,80781,0,16720,24358,5583,5146,0,36869,13607,0
rms,32469,0,32466,32469,0,18932,26181,4755,29818,396,16941,31534,31853
macf,247,247,247,247,0,246,247,101,0,0,0,247,247
scfs,1000,1000,1000,1000,0,999,1000,922,0,0,0,998,992
mem,13570,0,13569,13570,0,19,13566,10,0,112,112,13570,13189
wewo,1902,0,1902,1902,0,1804,1902,1696,1802,1900,1900,1902,1804
dmnh,48,48,48,48,0,48,39,8,0,0,0,36,43
psuc,19,19,19,19,0,2,4,6,0,1,4,10,8
encb-ipn,105061,105061,105061,105061,103739,105061,104694,103485,0,0,105061,105061,104447
fesi-unam,11602,11602,11602,11602,6118,11602,11602,11472,0,0,11602,11602,11479
cup,71997,43,71995,67951,0,55545,61589,917,17617,3373,31228,60292,53589
sel,6216,0,6216,6216,0,5866,6214,2650,5906,1487,1688,6216,5886
fc-uabc,620,620,620,620,616,620,620,576,0,0,620,620,614
ku,384831,384831,384826,384831,0,376930,366968,278936,0,0,233492,362646,315530
gouvernement du québec,101919,101919,101919,101918,101909,101919,101828,78547,1,24291,101182,101918,101916
uconn,155695,155695,155694,155695,0,143429,152708,136411,150277,4054,5308,151968,153899
"universidade estadual paulista, unesp",53738,53738,53738,49479,0,29737,354,19865,0,25819,33005,53258,0
clems,80574,0,80309,80574,0,45784,79079,1446,69645,1374,49219,49567,46029
university of maine,44772,44772,44772,44772,0,28285,44729,30048,37513,7590,9414,43634,39426
unisanta,8372,8372,8372,7523,0,8141,3,2795,0,3978,5632,8372,0
nrm,1039,1039,1039,1039,0,955,737,346,0,47,410,694,588
cinvestav-ipn,210,210,210,210,208,210,210,62,0,0,210,210,28
pul,2,0,2,2,0,0,2,2,2,0,0,2,2
"universidade estadual de londrina, uel",54501,54501,54501,52464,0,51629,311,10143,0,41041,41545,54500,0
aadc,17731,17731,17731,17731,0,13700,17372,17638,0,13635,17238,17720,0
etsu,11116,0,6658,11116,0,7391,10447,3397,0,7,122,7444,7468
cotecoca,338,338,338,338,338,338,338,337,0,0,338,338,335
sact,2522,2522,2522,2522,0,1965,2522,2102,0,0,0,2478,2495
albc,236,0,236,236,0,197,187,0,236,33,35,227,227
