or_institutionCode,total,has_collectionCode,has_catalogNumber,has_preparations,has_scientificName,has_scientificNameID,has_acceptedNameUsage,has_identificationID,has_locality,has_higherGeography,has_continent,has_countryCode,has_stateProvince,has_county,has_decimalLatitude,has_decimalLongitude,has_coordinates,has_verbatimElevation,has_verbatimDepth,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_recordNumber
"",1176,10,1176,1166,1176,0,0,0,1176,984,901,912,886,745,586,586,586,0,0,0,15,38,777,129,0
TU,67,67,67,0,67,0,0,0,0,0,67,54,44,18,46,46,46,0,0,0,0,0,67,0,0
ENMU,5170,0,5170,0,5170,0,0,0,5106,0,5170,5170,5170,4610,3,3,3,3987,0,1,30,30,5111,5113,4607
"SEL, FLAS",9,0,9,0,9,0,0,0,7,0,9,9,9,9,7,7,7,0,0,7,0,5,9,7,7
Wilton Garden Club,1222,1222,1222,1,1222,0,0,0,784,0,1204,1220,1204,1142,1020,1020,1020,0,0,1214,0,0,1213,1193,0
UMFK,46285,0,46285,0,46285,0,0,0,46280,0,46285,46285,46281,44357,747,747,747,0,0,0,0,46253,46284,46274,46280
UC,490499,260687,490494,0,490499,0,0,0,396043,0,407305,407887,399176,363088,263950,263896,263889,172647,4,220413,6432,18698,411497,399778,354620
NYS,43264,39805,43264,0,42739,0,0,0,42108,0,41184,41407,40445,36409,0,0,0,18064,0,0,0,0,36472,37130,33349
TENN,348967,513,348967,1,348967,0,0,0,116700,0,346106,346497,344862,311678,99463,99464,99457,28020,6,340916,14919,54184,120323,118118,87761
SFV,7201,7201,7201,0,7201,0,0,0,7189,0,7201,7201,7201,7201,5646,5646,5646,5721,0,0,0,0,7201,7184,7085
USU,167123,167123,166890,9,167122,0,0,0,151668,0,165695,166256,163384,147954,73051,73047,73045,35887,0,82807,59801,61853,162559,148814,145276
GVSC,3143,0,3143,0,3143,0,0,0,2894,0,2901,2901,2906,2812,522,522,522,0,0,3081,3015,3023,3091,2910,3044
NDA,8379,0,8379,0,8379,0,0,0,5162,0,8374,8379,8221,5007,1212,1212,1212,602,0,8379,5086,5114,5350,5340,5341
NDOA,1271,0,1271,0,1271,0,0,0,1220,0,1265,1266,1265,1268,10,10,10,122,0,1271,3,1115,1266,1251,1271
GH,517295,517295,517295,517170,517295,0,0,0,492432,508988,508988,501722,467521,294562,7636,7457,7446,49355,0,449934,71648,16362,514661,283286,225628
PAC,64239,0,64239,0,64239,0,0,0,29061,0,63821,64213,64151,30368,1652,1651,1651,2408,4,62067,168,252,31081,29137,29594
VMNH,70,70,70,0,70,0,0,0,70,70,70,70,70,70,39,39,39,0,0,69,0,54,57,46,0
IBE,13934,0,13934,0,13934,0,0,0,307,0,13807,13842,13816,13660,102,102,102,7,0,13573,1261,1611,13696,13292,12972
LSU,315798,315798,315796,1853,315793,0,0,0,190764,0,313393,314923,286183,269634,59923,59923,59923,5407,0,300147,76747,80969,301869,259353,294970
UVSC,15971,15566,15971,0,15971,0,0,0,15727,0,15968,15971,15918,15579,13577,13577,13577,11834,0,0,0,0,15968,15718,15753
SIM,24496,0,24496,0,24496,0,0,0,20697,0,23721,23928,23479,19335,15642,15642,15642,377,0,21949,6,30,24464,21115,21904
UHIM,10,10,10,0,10,0,0,0,0,0,10,10,10,10,0,0,0,0,0,10,0,0,10,10,0
UAMb,74307,74307,74307,73756,74307,0,0,0,74307,74307,73994,72976,66229,711,29603,29603,29603,0,0,56844,74291,74307,74307,74180,10
ARCH,4727,4727,4727,0,4727,0,0,0,4287,0,4718,4718,4717,4716,4,4,4,0,0,4290,429,679,4685,4284,3106
BUF,41035,41035,41035,0,41035,0,0,0,40887,41010,39908,39858,38156,34519,0,0,0,609,0,0,2394,4464,37389,36963,13785
UOMNH,10417,10417,10415,9174,9593,0,0,0,10329,0,9854,9047,8619,6298,1265,1265,1265,0,0,0,0,5995,8929,0,0
UCMP,61968,61968,61968,43777,60329,0,0,0,60278,0,60747,60605,59206,55618,13532,13532,13532,0,7034,914,0,0,32638,0,0
GMNH,113,113,103,113,113,0,0,0,113,0,113,113,113,113,100,100,100,0,0,0,0,0,113,113,113
POM,87555,87555,87555,0,87555,0,0,0,87417,0,87555,87555,87555,87555,60807,60807,60807,38457,0,0,0,0,87540,85769,87542
CHSC,74057,74057,74057,0,74057,0,0,0,73719,0,74057,74057,74057,74057,73217,73217,73217,65633,0,0,0,0,73820,73863,67572
University of Vermont,39226,39226,39226,0,39226,0,0,0,7918,0,39114,39226,39114,36682,34059,34058,34058,292,0,37036,1770,1857,16055,36665,11094
BEREA,25984,0,25984,0,25984,0,0,0,1983,0,25930,25935,25901,25737,14,14,14,6,0,23452,53,53,2017,1985,1942
WSP,76,0,76,0,76,0,0,0,75,0,76,76,72,20,76,76,76,0,0,75,0,0,76,76,76
NMNHI,60,0,0,0,60,0,0,0,60,0,60,60,60,60,13,13,13,56,0,0,19,60,60,60,59
KHD,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1
UWM,7816,0,7816,0,7816,0,0,0,6170,0,7797,7805,7795,7348,6230,6230,6230,122,0,7544,6767,6775,7813,7247,7746
USUUB,6845,0,6839,0,6838,0,0,0,6492,0,6845,6845,6845,6753,6619,6619,6555,5768,0,0,6795,6800,6841,6821,6730
PUR,4,0,4,0,4,0,0,0,3,0,4,4,4,2,4,4,4,0,0,4,0,0,4,4,4
UNCA,7875,0,7875,0,7875,0,0,0,7382,0,7768,7866,7768,7698,3432,3432,3432,773,0,1,7865,7871,7818,7367,5002
SEL,6216,0,6216,0,6216,0,0,0,5866,0,6216,6216,6215,6189,5904,5904,5904,0,2,5906,1487,1688,6216,5886,5400
Boston University,10844,10844,10844,0,10844,0,0,0,4875,0,10488,10566,10443,9578,5785,5785,5785,392,1,10805,162,203,10194,9023,4856
USAM,621,0,621,0,621,0,0,0,580,0,599,600,600,580,588,588,588,1,0,607,0,7,548,529,607
HSU,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ID,161840,153367,155824,0,161840,0,150340,0,157983,152991,160845,161150,160683,150109,111877,111876,111876,94041,0,151211,47222,54717,161648,160346,153074
UTEP,81047,81047,81047,81047,81047,0,0,0,81047,81047,81039,81019,80086,72980,34269,34269,34269,0,0,301,66439,81047,81045,81047,66923
UMMZ,150,150,150,149,150,0,0,0,148,0,147,143,74,38,27,27,27,0,0,0,0,0,129,38,0
CAS,841544,801101,841544,1551,841543,0,0,0,805344,584792,805229,804236,796197,724516,264047,263989,247404,472613,0,56144,162663,172367,840758,830778,839837
ASC,83587,1,80068,0,83587,0,0,0,81804,0,83556,83576,83473,82221,78540,78540,78539,65674,0,12,2766,27235,83562,81504,63372
ASU,383817,265204,240313,0,383817,0,0,0,366940,0,377334,380137,373991,272189,316641,316638,316634,112418,2,136704,47229,214348,379620,364161,353271
MISSA,28394,29,26759,0,28394,0,0,0,22978,0,27586,27885,27442,24687,19625,19627,19625,491,0,26231,866,935,25610,23555,17823
SDSM,1059,1059,1059,1057,1059,0,0,0,0,1041,1041,1041,1041,1020,0,0,0,0,0,0,0,0,0,61,0
Logan,3,3,3,0,3,0,0,0,0,0,3,3,3,3,0,0,0,0,0,3,0,0,0,0,0
HUNT,5633,0,5633,0,5633,0,0,0,163,0,5585,5631,5583,5469,120,120,120,0,0,5540,3,3,3614,3572,47
MUGM,19,19,19,19,19,0,0,0,19,19,19,19,19,19,19,19,19,0,0,0,0,0,18,18,0
MCA,51332,0,51332,0,51332,0,0,0,50389,0,51327,51327,51324,51027,50081,50081,50081,54,0,50505,5,5,51331,50416,50503
FH,229889,218166,229889,229663,229440,0,0,0,222946,217088,227633,224646,207469,117655,3741,3720,3717,2710,0,149169,6763,7302,227051,197591,116445
AMES,40080,40080,40080,40055,40080,0,0,0,37095,39418,39418,37998,25450,8201,855,851,846,10797,0,34206,9613,3390,39112,35096,30016
MBM,302860,302860,302860,0,295418,0,0,0,251582,0,298315,297156,245744,0,34371,34364,34357,0,0,0,62036,249956,302858,0,302856
CSU,2525,0,2101,0,2525,0,0,0,2385,0,2520,2524,2522,2425,1719,1719,1719,1,0,1587,0,1821,2259,2359,2353
UCSC,7348,7337,7338,0,7348,0,0,0,7270,0,7348,7348,7348,7342,4490,4490,4489,1591,0,1,0,0,7345,7065,7341
TAES,846,0,846,0,846,0,0,0,845,0,840,841,839,823,839,839,839,7,0,845,837,839,846,838,842
ILL,109602,0,109602,0,109602,0,0,0,18255,0,45670,46044,42153,23569,2483,2359,2359,2586,0,102512,2545,6274,33423,31292,32297
VT,326050,20651,326047,7,326050,0,0,0,48676,0,243416,318155,163119,86522,131709,131702,131697,9285,8,318696,16837,22580,84586,118802,67903
MAINE,13106,972,13106,0,13106,0,0,0,12514,0,13061,13103,13040,9427,9705,9705,9705,2543,0,65,4847,10955,12913,12129,11348
SUU,5849,0,5686,0,5849,0,0,0,5233,0,5539,5602,5535,4746,1289,1289,1289,2358,0,1014,5534,5568,5619,5468,3251
YPM,290977,290977,290977,7012,290977,0,0,0,154019,180126,218472,219956,212245,168550,193839,193752,193751,12502,11,194254,5253,14569,205493,166084,71202
WIS,574322,2,572242,52,574322,0,0,0,512880,0,561930,566553,540796,420560,187245,187171,187164,69429,8,493892,192185,204992,565926,515356,565362
UAM,201751,201751,201751,201641,201751,0,0,0,201751,201751,132514,127096,131892,1083,123700,123700,123700,0,0,172410,199314,201751,201747,196112,685
UWBM,19,19,19,0,19,0,0,0,19,19,19,19,19,17,16,16,16,0,0,0,0,0,13,8,0
UTC,2620,2620,2620,0,2620,0,0,0,2559,0,2611,2619,2386,2101,1252,1252,1252,81,0,2,234,267,2618,2398,1508
AMNH,5704,5400,5703,0,5407,0,0,0,4517,0,5043,5094,3632,1904,399,399,360,37,0,613,2098,2639,2457,286,0
MO,4751824,4751824,4751824,0,4751824,0,0,0,4502616,0,4721221,4601456,4407593,2412583,3169647,3169622,3169594,0,0,329365,2570627,2963048,4751799,1,4751821
VCU,18873,0,18873,0,18873,0,0,0,0,0,18851,18854,18864,10097,0,0,0,0,0,18574,96,96,0,0,0
JOTR,4358,4358,4358,0,4358,0,0,0,4358,0,4358,4358,4358,4358,4275,4275,4275,4149,0,0,0,0,4357,4357,4358
SRP,96021,73253,84879,0,96021,0,69605,0,82611,73032,83266,84185,82935,76597,58754,58753,58753,67850,0,80953,13291,33521,84163,83916,82817
BRU,15730,0,15730,0,15730,0,0,0,5889,0,13732,14130,12638,8268,14457,14457,14457,9,0,15703,2,193,14522,11527,198
MARY,57763,0,53661,0,57763,0,0,0,51111,0,57413,57649,57098,54163,49233,49232,49232,5756,33,47785,843,928,53646,50572,51733
FSU,169992,84315,169992,0,169990,0,0,0,73863,0,167469,167644,153152,142312,73176,73176,73167,16,0,154657,2005,0,90030,89616,89179
WEWO,1903,0,1903,0,1903,0,0,0,1804,0,1903,1903,1903,1901,1696,1696,1696,0,0,1802,1901,1901,1903,1804,1796
SAU,4472,0,0,0,4472,0,0,0,4263,0,4209,4359,4309,4101,4164,4164,4164,9,0,0,174,255,3188,4290,281
SYRF,6991,0,6991,0,6986,0,0,0,5767,0,6154,6194,5012,1885,5,5,5,612,0,6885,84,2155,6348,6099,6915
