or_institutionCode,uniqueToiDigBio
KANU,2945
Universite Pierre et Marie Curie,1
MNHM,1
ANWC,124834
GEO,15360
NCSM,285168
UNISANTA,8372
Hymenoptera,1
IPA,83045
PGM,7591
PUCRS,22386
UWSP,74054
UMPC,23
NMLS,1
DUKE,421091
FCB-UNE,255
OMNH,651772
PRC,211145
ROME,44
MSUM,26841
SD,127440
SNM,27701
DESZC-UDG,4251
CMNH,35814
LSUMZ,425006
TTRSNHM,1376
USON,22566
NMSZ,188
CIIDIR-IPN,15234
MDKY,10415
Musée de la Vallée,880
NCU,514020
MSUC,1744
AMSA,1
ALA,79614
MMWVU,744
WASH,716
YM-YOSE,9204
UADY,7219
UEMA,5475
FAFNR-CZU,50
UFRRJ,20
MCN/FZBRS,1126
MZSP,225
WIRC,1119
WTU,416501
KNWR,44
CBFC,7
"C.A. Triplehorn Insect Collection, Ohio State University, Columbus, OH (OSUC)",498628
DCH,6528
UME,93710
JMAC,4
RMNH Leiden,1
CIB-UAEM,4192
HD,945
USNM,5091372
UVM,3943
BMEC,1
FCA-UNACH,242
DNA,270289
DUGWAY,2537
S,1583539
IAvH,51
BPBM,440931
CU,10494
JCT,25412
TLAX,267
UFRGS,150091
ARIZ,37386
KNK,22971
TROY,14534
UESB,14238
BRFC,251
NSBC,53
CHJG,1
BMNH,1411
CNS-UT,8288
IRVC,5672
KBD,423
NO DISPONIBLE,20423
UAA,304
VM,1000
"SEL,AMES",1
CIRAD-CA,1
Central Connecticut State University,9156
MONT,62149
USF,18785
University of New Hampshire,86801
ZMO,9684
TARI,2
BDWR,2524
BG,310457
CATA,2832
FB-UMSNH,1779
LD,1045098
PH,486992
UCHT,43569
Ulster Museum,1
SBML-ARS-USDA,2
ICMyL-UNAM,107989
KU,2665507
NY,68277
TTRS,15418
UNESP-IBB,2478
Universidade Federal dos Vales do Jequitinhonha e Mucuri,6349
WNMU,8606
ZMLU,2
CANB,971585
CNS,180101
MIN,51003
UWZM,5132
Universidade Federal do Paran· (UFPR ),341
McGill University,262192
NCSC,67951
UK,42883
ASIZB,4
PMU,9
CUNI,10
ANSP,675798
CRMO,3257
FTG,564
MBML,94452
AEI,22
GSC,1748
Universidade Federal de Juiz de Fora,60178
AD-C,17
CNC,31160
CSUEB,152
MU,150420
OS,136530
Copenhagen,2
JECC,2
HMNH,5
BOLUSHERB,26237
COLO,123347
CSUSB,2003
EKY,82655
MEM,13573
SDSU,47398
"University of Guelph, Centre for Biodiversity Genomics",1002170
Montery Bay Aquarium Research Institute,1
BPI,771095
FSUCML,1015
JBRJ,735308
NEMU,472
EMLU,1
COTECOCA,338
CRIP-INAPESCA,642
EMC,17052
UCRC,364
INIA,76
MOR 1071,9
NMK,1
FCAP,3
NCSU,116112
NLU,435618
RCS,244
SEMUBCCOL,190
ZML,30
RHNM,6
MEFEIS,5
Venerida,1
CHRB,87926
"Escola Superior de Agricultura Luiz de Queiroz, ESALQ",143300
MADUG-UGTO,5486
"Ohio State University Acarology Laboratory, Columbus, OH (OSAL)",69842
UNA,2398
UQIC,8
LSAM,27
USDA,20
SALK,500
UCM,296155
Université Laval,41681
INHSd,2
CCSF/ Marine Bio Lab,1
GDF,1
BOIS,12778
SUI,14865
UFAC,18133
QCAZ,74
Bishop Museum,6
UAMX,8
MIZA,2
KIRI,7289
RBCM,49
IRSNB,12
NMNS,5
BISON,329917
BUT,4957
Brown,72456
CUAC,215
CUP,75728
INPA,209
ISC,104492
USCH,48050
UWO,37
CAU,5424
ETSU,21556
"Ohio State University - Fish Division, Columbus, OH (OSUM)",102024
SENEY,742
UnB,185589
FIOC,7
NHMW,10
Kyoto University Marine Experimental Station,1
DES,86553
PUL,2
ZMHB,25
UMOC,832
DBAC,5
SWFSC,93
TM,162150
BDUC,19
UUZM,2
MNCN,22
Canadian Museum of Nature,223
HWBA,649
OMA,19034
PRI,32988
KBIN,14
AWI,1
"Ohio State University - Mammal Division, Columbus, OH (OSUM)",6874
UFRPE,36398
NYBG,99
California Academy of Sciences,1
AADC,17740
MHN-UABCS,4437
NMPC,3
University of the Ryukyus,2
"PT: SEL, USF",1
CDA,24115
SCFS,1000
UMA,1162
URI,78
LEDLIE,1402
"Universidade Estadual Paulista, UNESP",53738
IMLA,17
NHRS,78
NMNH,25
HUDC,8791
Harvard University,21588
INECOL,188531
Universidade Estadual do Centro-Oeste,6023
Universidade Federal de Mato Grosso,8469
CP,208
KAIB,19
ESUW,19
NFH,688
NLH,7169
NMNH-SI,583
SFVS,21
MVY,150
RBINS-Maurice Leponce's ant collection (SIDbase),39
INBIO,1495
OBI,46116
UAT,1203
HU,3520
Lingulida,1
CINC,42166
FHL,3921
KE,15249
NEB,56066
University of Massachusetts,93312
VIMS,38603
UVA,213
HDOA,293
AEHM,2
QDPI,3
TMSA,2
MHN,1
TAU,5
IDS,73571
MHNCM,50078
NEBC,256
Western Connecticut State University,5930
UdeO,9
NMC,1
CIHS-UACAM,11165
DS,118417
MOR 1072,1
MZLU,346985
USFS/BHSC,341
DZRJ,3
APCR,1456
CLEMS,80968
HZIC,600
MSB,555089
OSC,86362
SEMAHN,1005
WCW,13538
QMBA,33
GSFP,4
`,1
CSCA,46391
FESZ-UNAM,42999
HJAEF,1317
ILLS,339443
Jardim Botânico Plantarum,13661
MNA,36669
IPT,10
ARC-PPRI,41575
FMNH,1925557
IAP,102928
FIC-UAT,2025
CIB,4
AMO,1
ISDF,1
SFPUC,1
BLMAR,647
CPATSA,415
FHSM,96869
NO APLICA,17102
RMBL,9442
PIM,10
ANIC,215
Fundação Universidade Federal de Mato Grosso do Sul (UFMS),65923
UNEMAT,21857
KAVE,1
VDBBRIT,1
AU-Bioscience,710
BOON,16634
CALVIN,5975
HLSD,3635
MOAR,26269
Pontifícia Universidade Católica do Rio de Janeiro,7216
YUO,183
UNAB,218
CUCBA-UDG,9400
GA,221777
JMUH,9341
Reserva Natural Vale,15935
UFV,40140
UKY-HIC,17141
CalCOFI-SIO-UCSD,6
WAMP,10
Amphipoda,2
ITLJ,3
BALT,35295
DEK,3841
HPC,26399
HPSU,19078
IBUNAM,216745
JROH,4747
Universidade do Estado de Mato Grosso,4385
MRAC,211
USCS,17886
UWYMV,9097
WLNP,1
Squamata,3
EIU,27589
QDPC,4
NEF,2859
SERBO,2947
UCS,48792
UTFPR,6137
BFRI,68
UFMG,32
AJTT,18842
NMU,2842
UDAF,425
UFG,24864
FSCA,14155
ODU,1729
SCIR,1303
MUSM,44
Ohio State University,2
Pennatulacea,1
SAPCL,259
UCD,166433
USP,169181
WVW,293
DAR,174
EAPZ,20
UNSM,1
UNAM,38
Bolus,11848
Colgate University,3094
SIIS,27617
UWFC,187017
University of Rhode Island,12682
US Forest Service,3
UNICAP,1458
UWFP,21520
ZMMU,179
CIRPAC-INIFAP,40
IEXA,16
UB,44
SACT,2522
UAZ,115872
CENAPROS-INIFAP,554
DMNH,152569
IND,153506
"SEL, USF",61
ZMH,15
University of Louisiana at Lafayette,1
DICTUS-USON,12709
IB-CUCBA-UDG,15589
UFPR,93749
USFWS,5096
PKPC,456
UFRJ,1
AWC,1663
CHAS,86875
FTU,19762
IFIT-CP,16707
SBMNH,152995
"Universidade Regional de Blumenau, FURB",64484
Arizona State,1
CRISP-INSP,638
DOV,23372
UNAF,8868
BDGC,285
Monterey Bay Aquarium Research Institute,1
BRIT,93539
CRCM,50407
SBBG,132916
UAAAN,3508
UFSM,10674
ACUNHC,2090
AUA,28207
