institutionCode,total,has_collectionCode,has_catalogNumber,has_preparations,has_scientificName,has_scientificNameID,has_acceptedNameUsage,has_identificationID,has_locality,has_higherGeography,has_continent,has_countryCode,has_stateProvince,has_county,has_decimalLatitude,has_decimalLongitude,has_coordinates,has_verbatimElevation,has_verbatimDepth,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_recordNumber
GMUF,36503,36503,36503,0,36503,0,0,0,28973,0,36503,36503,36502,29423,1170,1170,1170,1218,0,34490,1412,2160,29415,29058,28425
GRCH,2325,2325,2325,0,2325,0,0,0,2251,0,2325,2325,2325,2314,1719,1719,1719,3,0,0,204,238,2305,2242,2236
GRCH,3094,3094,3094,0,3094,0,0,0,2743,0,3062,3076,3011,2234,50,50,50,136,0,0,46,186,3008,2702,2792
GSW,13036,0,13036,1,13036,0,0,0,3192,0,12990,13005,12939,12355,886,886,886,506,0,12865,61,101,3271,3205,3087
GUAM,3,3,3,0,3,0,0,0,2,0,1,1,0,0,3,3,3,0,0,0,0,0,3,3,2
GVSC,3143,0,3143,0,3143,0,0,0,2894,0,2901,2901,2906,2812,428,428,428,0,0,3081,3015,3023,3091,2910,3044
Harvard University,21323,21323,21323,21323,20843,0,0,0,21298,0,20930,21035,20035,12899,1,1,1,3,0,11163,17,13,21301,19857,20311
HAW,4189,4189,4189,0,4189,0,0,0,1657,0,2925,2938,2468,1655,1,1,1,2,0,4025,0,483,3398,1,4179
HBSH,2426,0,2426,0,2426,0,0,0,586,0,2419,2420,2420,2400,301,301,301,133,0,1967,668,668,674,587,591
HCHM,4051,0,4051,0,4051,0,0,0,3907,0,3948,3948,3852,3502,4,4,4,11,0,3943,66,3424,3892,3709,3452
HCOA,665,0,665,0,665,0,0,0,659,0,664,664,664,664,659,659,659,0,0,577,522,597,557,650,550
HJAEF,1064,1064,1064,0,1064,0,1060,0,1056,1064,1064,1064,1064,1029,916,916,916,913,0,964,607,756,1064,1010,1064
HLSD,3542,0,3542,0,3542,0,0,0,379,0,2444,2456,2343,176,15,15,15,1,0,3520,165,1633,2712,2360,1163
HPC,26579,0,26579,0,26579,0,0,0,12586,0,26469,26557,26553,26184,2545,2546,2545,2,0,4418,192,202,26525,26335,25368
HPSU,15733,15733,15733,0,15733,0,15629,0,15315,15653,15611,15648,15619,14179,6567,6567,6554,7644,0,12836,4488,9324,15666,15438,15647
HSC,74762,71139,74762,3247,74762,0,0,0,73783,0,74727,74730,74724,74708,43849,43848,43848,51278,0,3623,1,3182,74587,74134,66323
HSU,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HUDC,8739,0,8739,0,8739,0,0,0,4855,0,8347,8461,7915,5104,4075,4076,4075,250,0,8567,23,77,5704,5359,5340
HUNT,5633,0,5633,0,5633,0,0,0,163,0,5585,5631,5583,5469,120,120,120,0,0,5549,3,3,3614,3578,47
HWBA,636,0,634,0,636,0,0,0,557,0,616,620,618,600,224,226,224,0,0,2,64,88,622,610,562
IBE,13908,0,13908,0,13908,0,0,0,243,0,13781,13816,13790,13634,23,23,23,7,0,13556,1235,1585,13670,13268,12950
ID,159924,151451,154739,0,159924,0,148464,0,155951,151075,158929,159234,158767,148174,109689,109688,109688,92156,0,150069,44715,52160,159732,158431,151086
IDS,61595,59980,61090,0,61595,0,58691,0,60838,59833,61010,61167,60035,56723,25388,25387,25387,30730,0,60371,57318,59201,61559,60616,61564
ILL,109602,0,109602,0,109602,0,0,0,18255,0,45670,46044,42153,23569,2483,2359,2359,2586,0,102512,2545,6274,33423,31292,32297
ILLS,333142,2745,114867,0,333142,0,0,0,310541,0,332075,332304,329150,316672,79336,79336,79336,18424,0,69291,395,16680,332522,308945,292110
IND,157224,0,157048,0,157224,0,0,0,151491,0,156866,157189,153548,141891,136933,136927,136925,15535,3,152102,36606,37779,157147,150391,150582
INHS,83,83,83,56,83,0,0,0,81,0,81,81,80,42,61,61,61,7,0,0,2,31,27,76,0
IRVC,5672,5672,5672,0,5672,0,0,0,5662,0,5672,5672,5672,5672,4943,4943,4943,5672,0,0,0,0,5668,5647,5324
ISC,102307,0,98501,0,102307,0,0,0,54566,0,80936,81430,79292,62958,34972,34967,34967,1737,1,53217,8479,25328,77499,75132,68178
ISTC,6788,0,0,0,6788,0,0,0,4167,0,4538,4857,4562,0,1,1,1,0,0,0,0,0,4903,4896,0
JEPS,109684,109684,109684,0,109684,0,0,0,109173,0,109684,109684,109684,109684,90935,90935,90934,71065,0,0,0,0,109671,108813,97307
JFBM,12,12,12,0,12,0,0,0,12,0,12,12,12,12,8,8,8,0,0,0,0,0,12,12,0
JMUH,5062,0,5062,0,5062,0,0,0,4837,0,4797,4797,4781,4682,784,784,784,0,0,4653,0,0,4838,4810,4198
JOTR,4358,4358,4358,0,4358,0,0,0,4358,0,4358,4358,4358,4358,4275,4275,4275,4149,0,0,0,0,4357,4357,4358
JROH,4747,4747,4747,0,4747,0,0,0,4747,0,4747,4747,4747,4747,3688,3688,3688,649,0,0,0,0,4747,4735,4747
JTP,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0
KAIB,19,0,0,0,19,0,0,0,1,0,19,19,19,19,1,1,1,1,0,0,0,0,19,1,1
KANU,1184,1184,1184,1183,1184,0,0,0,1178,0,1124,1160,1088,542,1181,1181,1181,0,0,0,0,0,0,0,0
KE,15242,0,14973,15237,15242,0,0,0,15242,0,15218,15221,14517,14256,7645,7409,7365,0,0,0,0,0,15241,15138,13391
KESC,11861,11861,11861,0,11861,0,0,0,864,0,10090,10123,9931,9209,0,0,0,0,0,11473,86,86,9786,9165,6165
KHD,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1
KIRI,7173,0,7173,0,7173,0,0,0,7173,0,5799,5841,5455,1898,5820,6957,5820,108,0,7173,0,2,7148,4894,1
KIRI,12556,12556,12556,0,12556,0,0,0,6539,0,9939,10571,9918,5328,3141,3141,3141,1,0,12367,198,240,10038,10230,2084
KNK,22925,0,22925,0,22925,0,0,0,22555,0,22863,22863,22873,22362,944,943,943,0,0,19092,0,4670,12244,11438,11989
KSP,28199,214,21677,62,28199,0,0,0,27169,0,28152,28166,27668,26976,12823,12812,12812,8495,0,5584,2161,3192,28091,27535,27217
KSTC,50877,50877,50822,0,50866,0,0,0,50498,0,48553,48547,48442,46889,22569,22569,22569,0,0,0,0,38196,50510,50221,44622
KU,398848,398848,398840,75570,398848,0,0,0,390957,390544,390670,381011,368089,339028,296313,296315,296299,98908,0,0,0,250598,376711,329310,0
LA,17186,17186,17186,0,17186,0,0,0,16187,0,17186,17186,17186,17186,13547,13547,13547,9118,0,0,0,0,17186,16757,16432
LACM,363,363,363,328,363,0,0,0,361,363,363,363,363,357,357,357,357,0,0,17,149,363,357,197,0
LCDI,1395,0,1284,0,1395,0,0,0,1191,0,1391,1395,1391,1383,439,439,438,0,0,0,121,262,1394,1386,1298
LEDLIE,1402,0,0,0,1402,0,0,0,1402,0,1402,1402,1402,1401,1,1,1,1364,0,0,0,1402,1402,1395,1402
LINF,3569,3569,3569,0,3569,0,3547,0,3514,3528,3526,3528,3526,3506,255,255,255,1171,0,3479,242,199,3568,3520,3569
Logan,3,3,3,0,3,0,0,0,0,0,3,3,3,3,0,0,0,0,0,3,0,0,0,0,0
